document_id,text
story-of-man-who-did-not-wish-to-die,"Long, long ago there lived a man called Sentaro."
story-of-man-who-did-not-wish-to-die,"His surname meant ""Millionaire,"" but although he was not so rich as all that, he was still very far removed from being poor."
story-of-man-who-did-not-wish-to-die,He had inherited a small fortune from his father and lived on this.
story-of-man-who-did-not-wish-to-die,"He spent his time carelessly, without any serious thoughts of work, till he was about thirty-two years of age."
story-of-man-who-did-not-wish-to-die,"One day, without any reason whatsoever, the thought of death and sickness came to him."
story-of-man-who-did-not-wish-to-die,The idea of falling ill or dying made him very wretched.
story-of-man-who-did-not-wish-to-die,"""I should like to live,"" he said to himself, ""till I am five or six hundred years old at least, free from all sickness. The ordinary span of a man's life is very short."""
story-of-man-who-did-not-wish-to-die,"He wondered whether it were possible, by living simply and frugally henceforth, to prolong his life as long as he wished."
story-of-man-who-did-not-wish-to-die,He knew there were many stories in ancient history of emperors who had lived a thousand years.
story-of-man-who-did-not-wish-to-die,"There was a Princess of Yamato, who, it was said, lived to the age of five hundred."
story-of-man-who-did-not-wish-to-die,This was the latest story of a very long life record.
story-of-man-who-did-not-wish-to-die,Sentaro had often heard the tale of the Chinese King named Shin-no-Shiko.
story-of-man-who-did-not-wish-to-die,He was one of the most able and powerful rulers in Chinese history.
story-of-man-who-did-not-wish-to-die,"He built all the large palaces, and also the famous great wall of China."
story-of-man-who-did-not-wish-to-die,He had everything in the world he could wish for.
story-of-man-who-did-not-wish-to-die,"But in spite of all his happiness and the luxury and the splendor of his Court, the wisdom of his councilors and the glory of his reign, he was miserable because he knew that one day he must die and leave it all."
story-of-man-who-did-not-wish-to-die,"When Shin-no-Shiko went to bed at night, when he rose in the morning, as he went through his day, the thought of death was always with him."
story-of-man-who-did-not-wish-to-die,He could not get away from it.
story-of-man-who-did-not-wish-to-die,"Ah-if only he could find the ""Elixir of Life,"" he would be happy."
story-of-man-who-did-not-wish-to-die,"The Emperor at last called a meeting of his courtiers and asked them all if they could not find for him the ""Elixir of Life"" of which he had so often read and heard."
story-of-man-who-did-not-wish-to-die,"One old courtier, Jofuku by name, said that far away across the seas there was a country called Horaizan."
story-of-man-who-did-not-wish-to-die,"Certain hermits lived there who possessed the secret of the ""Elixir of Life."""
story-of-man-who-did-not-wish-to-die,Whoever drank of this wonderful draught lived forever.
story-of-man-who-did-not-wish-to-die,"The Emperor ordered Jofuku to set out for the land of Horaizan, to find the hermits, and to bring him back a phial of the magic elixir."
story-of-man-who-did-not-wish-to-die,"He gave Jofuku one of his best junks, fitted it out for him, and loaded it with great quantities of treasures and precious stones for Jofuku to take as presents to the hermits."
story-of-man-who-did-not-wish-to-die,"Jofuku sailed for the land of Horaizan, but he never returned to the waiting Emperor."
story-of-man-who-did-not-wish-to-die,But ever since that time Mount Fuji has been said to be the fabled Horaizan and the home of hermits who had the secret of the elixir.
story-of-man-who-did-not-wish-to-die,It has been said that Jofuku has been worshiped as their patron god.
story-of-man-who-did-not-wish-to-die,"Now Sentaro determined to set out to find the hermits, and if he could, to become one, so that he might obtain the water of perpetual life."
story-of-man-who-did-not-wish-to-die,"He remembered that as a child he had been told that not only did these hermits live on Mount Fuji, but that they were said to inhabit all the very high peaks."
story-of-man-who-did-not-wish-to-die,"So he left his old home to the care of his relatives, and started out on his quest."
story-of-man-who-did-not-wish-to-die,"He traveled through all the mountainous regions of the land, climbing to the tops of the highest peaks, but never a hermit did he find."
