document_id,text
tale-of-ginger-and-pickles,Once upon a time there was a village shop.
tale-of-ginger-and-pickles,"The name over the window was ""Ginger and Pickles."""
tale-of-ginger-and-pickles,It was a little small shop just the right size for Dolls--Lucinda and Jane Doll-cook always bought their groceries at Ginger and Pickles.
tale-of-ginger-and-pickles,The counter inside was a convenient height for rabbits.
tale-of-ginger-and-pickles,Ginger and Pickles sold red spotty pocket-handkerchiefs at a penny three farthings.
tale-of-ginger-and-pickles,"They also sold sugar, and snuff and galoshes."
tale-of-ginger-and-pickles,"In fact, although it was such a small shop it sold nearly everything--except a few things that you want in a hurry--like bootlaces, hair-pins and mutton chops."
tale-of-ginger-and-pickles,Ginger and Pickles were the people who kept the shop.
tale-of-ginger-and-pickles,"Ginger was a yellow tom-cat, and Pickles was a terrier."
tale-of-ginger-and-pickles,The rabbits were always a little bit afraid of Pickles.
tale-of-ginger-and-pickles,The shop was also patronized by mice--only the mice were rather afraid of Ginger.
tale-of-ginger-and-pickles,"Ginger usually requested Pickles to serve them, because he said it made his mouth water."
tale-of-ginger-and-pickles,"""I cannot bear,"" said he, ""to see them going out at the door carrying their little parcels."""
tale-of-ginger-and-pickles,"""I have the same feeling about rats,"" replied Pickles, ""but it would never do to eat our own customers; they would leave us and go to Tabitha Twitchit's."""
tale-of-ginger-and-pickles,"""On the contrary, they would go nowhere,"" replied Ginger gloomily."
tale-of-ginger-and-pickles,(Tabitha Twitchit kept the only other shop in the village.
tale-of-ginger-and-pickles,She did not give credit.)
tale-of-ginger-and-pickles,Ginger and Pickles gave unlimited credit.
tale-of-ginger-and-pickles,"Now the meaning of ""credit"" is this--when a customer buys a bar of soap, instead of the customer pulling out a purse and paying for it--she says she will pay another time."
tale-of-ginger-and-pickles,"And Pickles makes a low bow and says, ""With pleasure, madam,"" and it is written down in a book."
tale-of-ginger-and-pickles,"The customers come again and again, and buy quantities, in spite of being afraid of Ginger and Pickles."
tale-of-ginger-and-pickles,"But there is no money in what is called the ""till."""
tale-of-ginger-and-pickles,"The customers came in crowds every day and bought quantities, especially the toffee customers."
tale-of-ginger-and-pickles,But there was always no money; they never paid for as much as a pennyworth of peppermints.
tale-of-ginger-and-pickles,"But the sales were enormous, ten times as large as Tabitha Twitchit's."
tale-of-ginger-and-pickles,"As there was always no money, Ginger and Pickles were obliged to eat their own goods."
tale-of-ginger-and-pickles,Pickles ate biscuits and Ginger ate a dried haddock.
tale-of-ginger-and-pickles,They ate them by candle-light after the shop was closed.
tale-of-ginger-and-pickles,"When it came to Jan. 1st there was still no money, and Pickles was unable to buy a dog licence."
tale-of-ginger-and-pickles,"""It is very unpleasant, I am afraid of the police,"" said Pickles."
tale-of-ginger-and-pickles,"""It is your own fault for being a terrier; _I_ do not require a licence, and neither does Kep, the Collie dog."""
tale-of-ginger-and-pickles,"""It is very uncomfortable, I am afraid I shall be summoned. I have tried in vain to get a licence upon credit at the Post Office;"" said Pickles."
tale-of-ginger-and-pickles,"""The place is full of policemen. I met one as I was coming home."""
tale-of-ginger-and-pickles,"""Let us send in the bill again to Samuel Whiskers, Ginger, he owes 22/9 for bacon."""
tale-of-ginger-and-pickles,"""I do not believe that he intends to pay at all,"" replied Ginger."
tale-of-ginger-and-pickles,"""And I feel sure that Anna Maria pockets things--Where are all the cream crackers?"""
tale-of-ginger-and-pickles,"""You have eaten them yourself,"" replied Ginger."
tale-of-ginger-and-pickles,Ginger and Pickles retired into the back parlour.
tale-of-ginger-and-pickles,They did accounts.
tale-of-ginger-and-pickles,"They added up sums and sums, and sums."
tale-of-ginger-and-pickles,"""Samuel Whiskers has run up a bill as long as his tail; he has had an ounce and three-quarters of snuff since October."""
tale-of-ginger-and-pickles,"""What is seven pounds of butter at 1/3, and a stick of sealing wax and four matches?"""
tale-of-ginger-and-pickles,"""Send in all the bills again to everybody 'with comp'ts,'"" replied Ginger."
tale-of-ginger-and-pickles,"After a time they heard a noise in the shop, as if something had been pushed in at the door."
tale-of-ginger-and-pickles,They came out of the back parlour.
tale-of-ginger-and-pickles,"There was an envelope lying on the counter, and a policeman writing in a note-book!"
tale-of-ginger-and-pickles,"Pickles nearly had a fit, he barked and he barked and made little rushes."
tale-of-ginger-and-pickles,"""Bite him, Pickles! bite him!"""
tale-of-ginger-and-pickles,"spluttered Ginger behind a sugar-barrel, ""he's only a German doll!"""
tale-of-ginger-and-pickles,"The policeman went on writing in his notebook; twice he put his pencil in his mouth, and once he dipped it in the treacle."
tale-of-ginger-and-pickles,Pickles barked till he was hoarse.
tale-of-ginger-and-pickles,But still the policeman took no notice.
tale-of-ginger-and-pickles,"He had bead eyes, and his helmet was sewed on with stitches."
tale-of-ginger-and-pickles,At length on his last little rush--Pickles found that the shop was empty.
tale-of-ginger-and-pickles,The policeman had disappeared.
tale-of-ginger-and-pickles,But the envelope remained.
tale-of-ginger-and-pickles,"""Do you think that he has gone to fetch a real live policeman? I am afraid it is a summons,"" said Pickles."
tale-of-ginger-and-pickles,"""No,"" replied Ginger, who had opened the envelope, ""it is the rates and taxes, 3 pounds, 19 shillings, 11 pence 3 farthings."""
tale-of-ginger-and-pickles,"""This is the last straw,"" said Pickles, ""let us close the shop."""
tale-of-ginger-and-pickles,"They put up the shutters, and left."
tale-of-ginger-and-pickles,But they have not removed from the neighbourhood.
tale-of-ginger-and-pickles,In fact some people wish they had gone further.
tale-of-ginger-and-pickles,Ginger is living in the warren.
tale-of-ginger-and-pickles,I do not know what occupation he pursues; he looks stout and comfortable.
tale-of-ginger-and-pickles,Pickles is at present a gamekeeper.
tale-of-ginger-and-pickles,The closing of the shop caused great inconvenience.
tale-of-ginger-and-pickles,Tabitha Twitchit immediately raised the price of everything a half-penny; and she continued to refuse to give credit.
