document_id,text
the-black-bull-of-norroway,"In bygone days, long centuries ago, there lived a widowed Queen who had three daughters."
the-black-bull-of-norroway,"And this widowed Queen was so poor, and had fallen upon such evil days, that she and her daughters had often much ado to get enough to eat."
the-black-bull-of-norroway,So the eldest Princess determined that she would set out into the world to seek her fortune.
the-black-bull-of-norroway,And her mother was quite willing that she should do so.
the-black-bull-of-norroway,"""For,"" said she, ""It is better to work abroad than to starve at home."""
the-black-bull-of-norroway,"But as there was an old hen-wife living near the Castle who was said to be a witch, and to be able to foretell the future, the Queen sent the Princess to her cottage, before she set out on her travels, to ask her in which of the Four Airts she ought to go, in order to find the best fortune."
the-black-bull-of-norroway,"""Thou needst gang nae farther than my back door, hinnie,"" answered the old Dame, who had always felt very sorry for the Queen and her pretty daughters, and was glad to do them a good turn."
the-black-bull-of-norroway,"So the Princess ran through the passage to the hen-wife's back door and peeped out, and what should she see but a magnificent coach, drawn by six beautiful cream-coloured horses, coming along the road."
the-black-bull-of-norroway,"Greatly excited at this unusual sight, she hurried back to the kitchen, and told the hen-wife what she had seen."
the-black-bull-of-norroway,"""Aweel, aweel, ye've seen your fortune,"" said the old woman, in a tone of satisfaction, ""for that coach-and-six is coming for thee."""
the-black-bull-of-norroway,"Sure enough, the coach-and-six stopped at the gate of the Castle, and the second Princess came running down to the cottage to tell her sister to make haste, because it was waiting for her."
the-black-bull-of-norroway,"Delighted beyond measure at the wonderful luck that had come to her, she hurried home, and, saying farewell to her mother and sisters, took her seat within, and the horses galloped off immediately."
the-black-bull-of-norroway,"And I've heard tell that they drew her to the Palace of a great and wealthy Prince, who married her; but that is outside my story."
the-black-bull-of-norroway,"A few weeks afterwards, the second Princess thought that she would do as her sister had done, and go down to the hen-wife's cottage, and tell her that she, too, was going out into the world to seek her fortune."
the-black-bull-of-norroway,"And, of course, in her heart of hearts she hoped that what had happened to her sister would happen to her also."
the-black-bull-of-norroway,"And, curious to say, it did."
the-black-bull-of-norroway,"For the old hen-wife sent her to look out at her back door, and she went, and, lo and behold!"
the-black-bull-of-norroway,another coach-and-six was coming along the road.
the-black-bull-of-norroway,"And when she went and told the old woman, she smiled upon her kindly, and told her to hurry home, for the coach-and-six was her fortune also, and that it had come for her."
