document_id,text
the-boy-who-set-a-snare-for-the-sun,"At the time when the animals reigned in the earth, they had killed all the people but a girl and her little brother."
the-boy-who-set-a-snare-for-the-sun,"These two were living in fear, in an out-of-the-way place."
the-boy-who-set-a-snare-for-the-sun,"The boy was a perfect little pigmy, and never grew beyond the size of a mere infant."
the-boy-who-set-a-snare-for-the-sun,"The girl increased with her years, so that the task of providing food and shelter fell wholly upon her."
the-boy-who-set-a-snare-for-the-sun,"She went out daily to get wood for the lodge-fire, and she took her little brother with her that no mishap might befall him."
the-boy-who-set-a-snare-for-the-sun,He was too little to leave alone.
the-boy-who-set-a-snare-for-the-sun,"A big bird, of a mischievous disposition, might have flown away with him."
the-boy-who-set-a-snare-for-the-sun,"She made him a bow and arrows, and said to him one day, ""My little brother, I will leave you behind where I have been gathering the wood. You must hide yourself, and you will soon see the snow-birds come and pick the worms out of the logs which I have piled up. Shoot one of them and bring it home."""
the-boy-who-set-a-snare-for-the-sun,"He obeyed her, and tried his best to kill one, but he came home unsuccessful."
the-boy-who-set-a-snare-for-the-sun,"His sister told him that he must not despair, but try again the next day."
the-boy-who-set-a-snare-for-the-sun,"She accordingly left him at the gathering-place of the wood, and returned to the lodge."
the-boy-who-set-a-snare-for-the-sun,Toward night-fall she heard his little footsteps crackling through the snow.
the-boy-who-set-a-snare-for-the-sun,"He hurried in and threw down, with an air of triumph, one of the birds which he had killed."
the-boy-who-set-a-snare-for-the-sun,"""My sister,"" said he, ""I wish you to skin it, and stretch the skin, and when I have killed more, I will have a coat made out of them."""
the-boy-who-set-a-snare-for-the-sun,"""But what shall we do with the body?"" said she; for they had always up to that time lived upon greens and berries."
the-boy-who-set-a-snare-for-the-sun,"""Cut it in two,"" he answered, ""and season our pottage with one half of it at a time."""
the-boy-who-set-a-snare-for-the-sun,"It was their first dish of game, and they relished it greatly."
the-boy-who-set-a-snare-for-the-sun,"The boy kept on in his efforts, and in the course of time he killed ten birds-out of the skins of which his sister made him a little coat."
