document_id,text
the-constable,In a city in the neighborhood of Kaiutschou there once lived a constable by the name of Dung.
the-constable,One day when he returned from a hunt after thieves the twilight had already begun to fall.
the-constable,"So before he waded through the stream that flowed through the city he sat down on the bank, lit a pipe and took off his shoes."
the-constable,"When he looked up, he suddenly saw a man in a red hat dressed as a constable crouching beside him."
the-constable,"Astonished, he inquired: ""Who are you? Your clothes indicate that you are a member of our profession, but I have never yet seen you among the men of our local force. Tell me, pray, whence you come?"""
the-constable,"The other answered: ""I am weary, having come a long journey, and would like to enjoy a pipeful of tobacco in your company. I am sure you will not object to that."""
the-constable,Dung handed him a pipe and tobacco.
the-constable,"But the other constable said: ""I do not need them. Just you keep on smoking. It is enough for me to enjoy the odor."""
the-constable,"So they chatted awhile together, and together waded through the stream."
the-constable,"And gradually they became quite confidential and the stranger said: ""I will be quite frank with you. I am the head constable of the Nether World, and am subject to the Lord of the Great Mountain. You yourself are a constable of reputation here in the upper world. And, because of my skill, I have standing in the world below. Since we are so well suited to each other, I should like to enter into a bond of brotherhood with you."""
the-constable,"Dung was agreeable and asked: ""But what really brings you here?"""
the-constable,"Said the other: ""In your district there lives a certain Wang, who was formerly superintendent of the granaries, and at that time caused the death of an officer. This man has now accused him in the Nether World. The King of the Nether World cannot come to a decision in the case, and therefore has asked the Lord of the Great Mountain to settle it. The Lord of the Great Mountain has ordered that Wang's property and life be shortened. First his property is to be sequestered here in the upper world, and then his soul is to be dragged to the nether one. I have been sent out by the Judge of the Dead to fetch him. Yet the established custom is, when some one is sent for, that the constable has first to report to the god of the city. The god of the city then issues a summons, and sends one of his own spirit constables to seize the soul and deliver it over to me. Only then may I take it away with me."""
the-constable,"Dung asked him further particulars; but the other merely said: ""Later on you will see it all for yourself."""
the-constable,"When they reached the city Dung invited his colleague to stay at his home, and entertained him with wine and food."
the-constable,But the other only talked and touched neither the goblet nor the chop-sticks.
the-constable,"Said Dung: ""In my haste I could not find any better meal for you. I am afraid it is not good enough."""
the-constable,"But his guest replied: ""Oh no, I am already surfeited and satisfied! We spirits feed only on odors; in which respect we differ from men."""
the-constable,It was late at night before he set out to visit the temple of the city god.
the-constable,"No sooner did morning dawn than he reappeared to take farewell and said: ""Now all is in order: I am off! In two years' time you will go to Taianfu, the city near the Great Mountain, and there we will meet again."""
the-constable,Dung began to feel ill at ease.
the-constable,"A few days later, in fact, came the news that Wang had died."
the-constable,The district mandarin journeyed to the dead man's natal village in order to express his sympathy.
the-constable,Among his followers was Dung.
the-constable,The inn-keeper there was a tenant of Wang's.
the-constable,"Dung asked him: ""Did anything out of the ordinary happen when Sir Wang died?"""
the-constable,"""It was all very strange,"" answered the inn-keeper, ""and my mother who had been very busy in his house, came home and fell into a violent fever. She was unconscious for a day and a night, and could hardly breathe."""
the-constable,"She came to on the very day when the news of Sir Wang's death was made public, and said: 'I have been to the Nether World and I met him there. He had chains about his neck and several devils were dragging him along. I asked him what he had done, but he said: ""I have no time to tell you now. When you return ask my wife and she will tell you all!""'"
the-constable,And yesterday my mother went there and asked her.
the-constable,"And Wang's wife told her with tears: 'My master was an official, but for a long time he did not make any head-way. He was superintendent of the granaries in Nanking, and in the same city was a high officer, with whom my master became very intimate.'"
the-constable,He always came to visit at our house and he and my master would talk and drink together.
the-constable,"One day my master said to him: ""We administrative mandarins have a large salary and a good income besides. You are an officer, and have even reached the second step in rank, yet your salary is so small that you cannot possibly make it do. Have you any other income aside from it?"""
