document_id,text
the-disowned-princess,"At the time that the Tang dynasty was reigning there lived a man named Liu I, who had failed to pass his examinations for the doctorate."
the-disowned-princess,So he traveled home again.
the-disowned-princess,"He had gone six or seven miles when a bird flew up in a field, and his horse shied and ran ten miles before he could stop him."
the-disowned-princess,There he saw a woman who was herding sheep on a hillside.
the-disowned-princess,"He looked at her and she was lovely to look upon, yet her face bore traces of hidden grief."
the-disowned-princess,"Astonished, he asked her what was the matter."
the-disowned-princess,"The woman began to sob and said: ""Fortune has forsaken me, and I am in need and ashamed. Since you are kind enough to ask I will tell you all. I am the youngest daughter of the Dragon-King of the Sea of Dungting, and was married to the second son of the Dragon-King of Ging Dschou. Yet my husband ill-treated and disowned me. I complained to my step-parents, but they loved their son blindly and did nothing. And when I grew insistent they both became angry, and I was sent out here to herd sheep."""
the-disowned-princess,"When she had done, the woman burst into tears and lost all control of herself."
the-disowned-princess,"Then she continued: ""The Sea of Dungting is far from here; yet I know that you will have to pass it on your homeward journey. I should like to give you a letter to my father, but I do not know whether you would take it."""
the-disowned-princess,"Liu I answered: ""Your words have moved my heart. Would that I had wings and could fly away with you. I will be glad to deliver the letter to your father. Yet the Sea of Dungting is long and broad, and how am I to find him?"""
the-disowned-princess,"""On the southern shore of the Sea stands an orange-tree,"" answered the woman, ""which people call the tree of sacrifice. When you get there you must loosen your girdle and strike the tree with it three times in succession. Then some one will appear whom you must follow. When you see my father, tell him in what need you found me, and that I long greatly for his help."""
the-disowned-princess,Then she fetched out a letter from her breast and gave it to Liu I.
the-disowned-princess,"She bowed to him, looked toward the east and sighed, and, unexpectedly, the sudden tears rolled from the eyes of Liu I as well."
the-disowned-princess,He took the letter and thrust it in his bag.
the-disowned-princess,"Then he asked her: ""I cannot understand why you have to herd sheep. Do the gods slaughter cattle like men?"""
the-disowned-princess,"""These are not ordinary sheep,"" answered the woman; ""these are rain-sheep."""
the-disowned-princess,"""But what are rain-sheep?"""
the-disowned-princess,"""They are the thunder-rams,"" replied the woman."
the-disowned-princess,"And when he looked more closely he noticed that these sheep walked around in proud, savage fashion, quite different from ordinary sheep."
the-disowned-princess,"Liu I added: ""But if I deliver the letter for you, and you succeed in getting back to the Sea of Dungting in safety, then you must not use me like a stranger."""
the-disowned-princess,"The woman answered: ""How could I use you as a stranger? You shall be my dearest friend."""
the-disowned-princess,And with these words they parted.
the-disowned-princess,"In course of a month Liu I reached the Sea of Dungting, asked for the orange-tree and, sure enough, found it."
the-disowned-princess,"He loosened his girdle, and struck the tree with it three times."
the-disowned-princess,"At once a warrior emerged from the waves of the sea, and asked: ""Whence come you, honored guest?"""
the-disowned-princess,"Liu I said: ""I have come on an important mission and want to see the King."""
the-disowned-princess,"The warrior made a gesture in the direction of the water, and the waves turned into a solid street along which he led Liu I."
the-disowned-princess,"The dragon-castle rose before them with its thousand gates, and magic flowers and rare grasses bloomed in luxurious profusion."
the-disowned-princess,The warrior bade him wait at the side of a great hall.
the-disowned-princess,"Liu I asked: ""What is this place called?"""
the-disowned-princess,"""It is the Hall of the Spirits,"" was the reply."
the-disowned-princess,Liu I looked about him: all the jewels known to earth were there in abundance.
the-disowned-princess,"The columns were of white quartz, inlaid with green jade; the seats were made of coral, the curtains of mountain crystal as clear as water, the windows of burnished glass, adorned with rich lattice-work."
the-disowned-princess,"The beams of the ceiling, ornamented with amber, rose in wide arches."
the-disowned-princess,"An exotic fragrance filled the hall, whose outlines were lost in darkness."
the-disowned-princess,Liu I had waited for the king a long time.
the-disowned-princess,"To all his questions the warrior replied: ""Our master is pleased at this moment to talk with the priest of the sun up on the coral-tower about the sacred book of the fire. He will, no doubt, soon be through."""
the-disowned-princess,"Liu I went on to ask: ""Why is he interested in the sacred book of the fire?"""
the-disowned-princess,"The reply was: ""Our master is a dragon. The dragons are powerful through the power of water. They can cover hill and dale with a single wave. The priest is a human being. Human beings are powerful through fire. They can burn the greatest palaces by means of a torch. Fire and water fight each other, being different in their nature. For that reason our master is now talking with the priest, in order to find a way in which fire and water may complete each other."""
the-disowned-princess,"Before they had quite finished there appeared a man in a purple robe, bearing a scepter of jade in his hand."
the-disowned-princess,"The warrior said: ""This is my master!"""
the-disowned-princess,Liu I bowed before him.
the-disowned-princess,"The king asked: ""Are you not a living human being? What has brought you here?"""
the-disowned-princess,"Liu I gave his name and explained: ""I have been to the capital and there failed to pass my examination. When I was passing by the Ging Dschou River, I saw your daughter, whom you love, herding sheep in the wilderness. The winds tousled her hair, and the rain drenched her. I could not bear to see her trouble and spoke to her. She complained that her husband had cast her out and wept bitterly. Then she gave me a letter for you. And that is why I have come to visit you, O King!"""
the-disowned-princess,With these words he fetched out his letter and handed it to the king.
the-disowned-princess,"When the latter had read it, he hid his face in his sleeve and said with a sigh: ""It is my own fault. I picked out a worthless husband for her. Instead of securing her happiness I have brought her to shame in a distant land. You are a stranger and yet you have been willing to help her in her distress, for which I am very grateful to you."""
