document_id,text
the-fire-plume,"Wassamo was living with his parents on the shore of a large bay, far out in the north-east."
the-fire-plume,"One day, when the season had commenced for fish to be plenty, the mother of Wassamo said to him, ""My son, I wish you would go to yonder point and see if you can not procure me some fish; and ask your cousin to accompany you."""
the-fire-plume,He did so.
the-fire-plume,"They set out, and in the course of the afternoon they arrived at the fishing-ground."
the-fire-plume,"The cousin, being the elder, attended to the nets, and they encamped near by, using the bark of the birch for a lodge to shelter them through the night."
the-fire-plume,"They lit a fire, and while they sat conversing with each other, the moon arose."
the-fire-plume,Not a breath of wind disturbed the smooth surface of the lake.
the-fire-plume,Not a cloud was seen.
the-fire-plume,"Wassamo looked out on the water toward their nets, and he saw that the little black spots, which were no other than the floats, dotting the lake, had disappeared."
the-fire-plume,"""Cousin,"" he said, ""let us visit our nets; perhaps we are fortunate."""
the-fire-plume,"When they drew up the nets they were rejoiced to see the meshes shining white, all over, with the glittering prey."
the-fire-plume,"They landed in fine spirits, and put away their canoe in safety from the winds."
the-fire-plume,"""Wassamo,"" said the cousin, ""you cook that we may eat."""
the-fire-plume,"Wassamo set about the work at once, and soon had his great kettle swung upon its branch, while the cousin lay at his ease upon the other side of the fire."
the-fire-plume,"""Cousin,"" said Wassamo, ""tell me stories or sing me some love-songs."""
the-fire-plume,"The cousin obeyed, and sung his plaintive songs; or he would frequently break off in the midst of a mournful chant, and begin to recite a mirthful story, and then in the midst of Wassamo's laughter he would return to the plaintive ditty--just as it suited his fancy; for the cousin was gay of spirit, and shifted his humor faster than the fleecy clouds that appeared and disappeared in the night-sky over their heads."
the-fire-plume,"In this changeful pastime the cousin ran his length, and then he fell away, murmuring parts of his song or story, into a silvery sleep; with the moon gliding through the branches and gilding his face."
the-fire-plume,"Wassamo in the mean while had lost the sound of his cousin's voice in the rich simmer of the kettle; and when its music pleased his ear the most, as announcing that the fish were handsomely cooked, he lifted the kettle from the fire."
the-fire-plume,"He spoke to his cousin, but he received no answer."
the-fire-plume,"He went on with his housekeeping alone, and took the wooden ladle and skimmed the kettle neatly, for the fish were very plump and fat."
the-fire-plume,"Wassamo had a torch of twisted bark in one hand to give light, and when he came to take out the fish, there was no one to have charge of the torch."
the-fire-plume,"The cousin was so happy in his sleep, with the silver moon kissing his cheeks, as though she were enamored of his fair looks, that Wassamo had not the heart to call him up."
the-fire-plume,"Binding his girdle upon his brow, in this he thrust the torch, and went forward, with the light dancing through the green leaves at every turn of his head, to prepare the evening meal."
the-fire-plume,"He again spoke to his cousin, but gently, to learn whether he was in truth asleep."
the-fire-plume,"The cousin murmured, but made no reply; and Wassamo stepped softly about with the dancing fire-plume lighting up the gloom of the forest at every turn he made."
the-fire-plume,"Suddenly he heard a laugh It was double, or the one must be the perfect echo of the other."
the-fire-plume,To Wassamo there appeared to be two persons at no great distance.
the-fire-plume,"""Cousin,"" said Wassamo, ""some person is near us. I hear a laugh; awake and let us look out!"""
the-fire-plume,The cousin made no answer.
the-fire-plume,"Again Wassamo heard the laughter in mirthful repetition, like the ripple of the water-brook upon the shining pebbles of the stream."
the-fire-plume,"Peering out as far as the line of the torchlight pierced into the darkness, he beheld two beautiful young females smiling on him."
the-fire-plume,"Their countenances appeared to be perfectly white, like the fresh snow."
the-fire-plume,"He crouched down and pushed his cousin, saying, in a low voice, ""Awake! awake! here are two young women."""
the-fire-plume,But he received no answer.
the-fire-plume,"His cousin seemed lost to all earthly sense and sound; for he lay unmoved, smiling, in the calm light of the moon."
the-fire-plume,"Wassamo started up alone, and glided toward the strange females."
the-fire-plume,"As he approached them he was more and more enraptured with their beauty; but just as he was about to speak to them, he suddenly fell to the earth, and they all three vanished together."
the-fire-plume,"The moon shone where they had just stood, but she saw them not."
