document_id,text
the-magic-mirror,"A long, long while ago, before ever the White Men were seen in Senna, there lived a man called Gopani-Kufa."
the-magic-mirror,"One day, as he was out hunting, he came upon a strange sight."
the-magic-mirror,An enormous python had caught an antelope and coiled itself around it.
the-magic-mirror,"The antelope, striking out in despair with its horns, had pinned the python's neck to a tree."
the-magic-mirror,So deeply had its horns sunk in the soft wood that neither creature could get away.
the-magic-mirror,"'Help!' cried the antelope, 'for I was doing no harm, yet I have been caught. I would have been eaten, had I not defended myself.'"
the-magic-mirror,"'Help me,' said the python, 'for I am Insato, King of all the Reptiles, and will reward you well!'"
the-magic-mirror,"Gopani-Kufa considered for a moment, then stabbing the antelope with his assegai, he set the python free."
the-magic-mirror,"'I thank you,' said the python."
the-magic-mirror,"'Come back here with the new moon, when I shall have eaten the antelope, and I will reward you as I promised.'"
the-magic-mirror,"'Yes,' said the dying antelope, 'he will reward you, and lo! your reward shall be your own undoing!'"
the-magic-mirror,"Gopani-Kufa went back to his kraal, and with the new moon he returned again to the spot where he had saved the python."
the-magic-mirror,"Insato was lying upon the ground, still sleepy from the effects of his huge meal, and when he saw the man he thanked him again, and said: 'Come with me now to Pita, which is my own country, and I will give you what you will of all my possessions.'"
the-magic-mirror,"Gopani-Kufa at first was afraid, thinking of what the antelope had said, but finally he consented and followed Insato into the forest."
the-magic-mirror,"For several days they travelled, and at last they came to a hole leading deep into the earth."
the-magic-mirror,"It was not very wide, but large enough to admit a man."
the-magic-mirror,"'Hold on to my tail,' said Insato, 'and I will go down first, drawing you after me.'"
the-magic-mirror,"The man did so, and Insato entered."
the-magic-mirror,"Down, down, down they went for days, all the while getting deeper and deeper into the earth, until at last the darkness ended and they dropped into a beautiful country."
the-magic-mirror,"Around them grew short green grass, on which browsed herds of cattle and sheep and goats."
the-magic-mirror,"In the distance Gopani-Kufa saw a great collection of houses all square, built of stone and very tall, and their roofs were shining with gold and burnished iron."
the-magic-mirror,"Gopani-Kufa turned to Insato, but found, in the place of the python, a man, strong and handsome, with the great snake's skin wrapped round him for covering; and on his arms and neck were rings of pure gold."
the-magic-mirror,The man smiled.
the-magic-mirror,"'I am Insato,' said he, 'but in my own country I take man's shape--even as you see me--for this is Pita, the land over which I am king.'"
the-magic-mirror,He then took Gopani-Kufa by the hand and led him towards the town.
the-magic-mirror,"On the way they passed rivers in which men and women were bathing and fishing and boating; and farther on they came to gardens covered with heavy crops of rice and maize, and many other grains which Gopani-Kufa did not even know the name of."
the-magic-mirror,"And as they passed, the people who were singing at their work in the fields, abandoned their labours and saluted Insato with delight, bringing also palm wine and green cocoanuts for refreshment, as to one returned from a long journey."
the-magic-mirror,'These are my children!'
the-magic-mirror,"said Insato, waving his hand towards the people."
the-magic-mirror,"Gopani-Kufa was much astonished at all that he saw, but he said nothing."
the-magic-mirror,"Presently they came to the town; everything here, too, was beautiful, and everything that a man might desire he could obtain."
the-magic-mirror,Even the grains of dust in the streets were of gold and silver.
