document_id,text
the-pie-and-the-patty-pan,Pussy-cat sits by the fire--how should she be fair?
the-pie-and-the-patty-pan,"In walks the little dog--says ""Pussy are you there? How do you do mistress Pussy? Mistress Pussy, how do you do?"""
the-pie-and-the-patty-pan,"""I thank you kindly, little dog, I fare as well as you!"""
the-pie-and-the-patty-pan,Old Rhyme.
the-pie-and-the-patty-pan,"ONCE upon a time there was a Pussy-cat called Ribby, who invited a little dog called Duchess to tea."
the-pie-and-the-patty-pan,"""Come in good time, my dear Duchess,"" said Ribby's letter, ""and we will have something so very nice. I am baking it in a pie-dish--a pie-dish with a pink rim. You never tasted anything so good! And YOU shall eat it all! _I_ will eat muffins, my dear Duchess!"" wrote Ribby."
the-pie-and-the-patty-pan,"Duchess read the letter and wrote an answer:--""I will come with much pleasure at a quarter past four. But it is very strange. _I_ was just going to invite you to come here, to supper, my dear Ribby, to eat something MOST DELICIOUS."""
the-pie-and-the-patty-pan,"""I will come very punctually, my dear Ribby,"" wrote Duchess; and then at the end she"
the-pie-and-the-patty-pan,"added--""I hope it isn't mouse?"""
the-pie-and-the-patty-pan,"And then she thought that did not look quite polite; so she scratched out ""isn't mouse"" and changed it to ""I hope it will be fine,"" and she gave her letter to the postman."
the-pie-and-the-patty-pan,"But she thought a great deal about Ribby's pie, and she read Ribby's letter over and over again."
the-pie-and-the-patty-pan,"""I am dreadfully afraid it WILL be mouse!"" said Duchess to herself--""I really couldn't, COULDN'T eat mouse pie. And I shall have to eat it, because it is a party. And MY pie was going to be veal and ham. A pink and white pie-dish! and so is mine; just like Ribby's dishes; they were both bought at Tabitha Twitchit's."""
the-pie-and-the-patty-pan,Duchess went into her larder and took the pie off a shelf and looked at it.
the-pie-and-the-patty-pan,"""It is all ready to put into the oven. Such lovely pie-crust; and I put in a little tin patty-pan to hold up the crust; and I made a hole in the middle with a fork to let out the steam-- Oh I do wish I could eat my own pie, instead of a pie made of mouse!"""
the-pie-and-the-patty-pan,"Duchess considered and considered and read Ribby's letter again-- ""A pink and white pie-dish-and YOU shall eat it all. 'You' means me--then Ribby is not going to even taste the pie herself? A pink and white pie-dish! Ribby is sure to go out to buy the muffins..... Oh what a good idea! Why shouldn't I rush along and put my pie into Ribby's oven when Ribby isn't there?"""
the-pie-and-the-patty-pan,Duchess was quite delighted with her own cleverness!
the-pie-and-the-patty-pan,"Ribby in the meantime had received Duchess's answer, and as soon as she was sure that the little dog would come--she popped HER pie into the oven."
the-pie-and-the-patty-pan,"There were two ovens, one above the other; some other knobs and handles were only ornamental and not intended to open."
the-pie-and-the-patty-pan,Ribby put the pie into the lower oven; the door was very stiff.
the-pie-and-the-patty-pan,"""The top oven bakes too quickly,"" said Ribby to herself."
the-pie-and-the-patty-pan,"""It is a pie of the most delicate and tender mouse minced up with bacon. And I have taken out all the bones; because Duchess did nearly choke herself with a fish-bone last time I gave a party. She eats a little fast--rather big mouthfuls. But a most genteel and elegant little dog infinitely superior company to Cousin Tabitha Twitchit."""
the-pie-and-the-patty-pan,Ribby put on some coal and swept up the hearth.
the-pie-and-the-patty-pan,"Then she went out with a can to the well, for water to fill up the kettle."
the-pie-and-the-patty-pan,"Then she began to set the room in order, for it was the sitting-room as well as the kitchen."
the-pie-and-the-patty-pan,She shook the mats out at the front-door and put them straight; the hearth-rug was a rabbit-skin.
the-pie-and-the-patty-pan,"She dusted the clock and the ornaments on the mantelpiece, and she polished and rubbed the tables and chairs."
the-pie-and-the-patty-pan,"Then she spread a very clean white table-cloth, and set out her best china tea-set, which she took out of a wall-cupboard near the fireplace."
the-pie-and-the-patty-pan,The tea-cups were white with a pattern of pink roses; and the dinner-plates were white and blue.
the-pie-and-the-patty-pan,"When Ribby had laid the table she took a jug and a blue and white dish, and went out down the field to the farm, to fetch milk and butter."
the-pie-and-the-patty-pan,"When she came back, she peeped into the bottom oven; the pie looked very comfortable."
the-pie-and-the-patty-pan,"Ribby put on her shawl and bonnet and went out again with a basket, to the village shop to buy a packet of tea, a pound of lump sugar, and a pot of marmalade."
the-pie-and-the-patty-pan,"And just at the same time, Duchess came out of HER house, at the other end of the village."
the-pie-and-the-patty-pan,"Ribby met Duchess half-way own the street, also carrying a basket, covered with a cloth."
the-pie-and-the-patty-pan,"They only bowed to one another; they did not speak, because they were going to have a party."
the-pie-and-the-patty-pan,As soon as Duchess had got round the corner out of sight--she simply ran!
the-pie-and-the-patty-pan,Straight away to Ribby's house!
the-pie-and-the-patty-pan,"Ribby went into the shop and bought what she required, and came out, after a pleasant gossip with Cousin Tabitha Twitchit."
the-pie-and-the-patty-pan,"Cousin Tabitha was disdainful afterwards in conversation-- ""A little DOG indeed! Just as if there were no CATS in Sawrey! And a PIE for afternoon tea! The very idea!"" said Cousin Tabitha Twitchit."
the-pie-and-the-patty-pan,Ribby went on to Timothy Baker's and bought the muffins.
the-pie-and-the-patty-pan,Then she went home.
the-pie-and-the-patty-pan,"There seemed to be a sort of scuffling noise in the back passage, as she was coming in at the front door."
the-pie-and-the-patty-pan,"""I trust that is not that Pie: the spoons are locked up, however,"" said Ribby."
the-pie-and-the-patty-pan,But there was nobody there.
the-pie-and-the-patty-pan,"Ribby opened the bottom oven door with some difficulty, and turned the pie."
the-pie-and-the-patty-pan,There began to be a pleasing smell of baked mouse!
the-pie-and-the-patty-pan,"Duchess in the meantime, had slipped out at the back door."
the-pie-and-the-patty-pan,"""It is a very odd thing that Ribby's pie was NOT in the oven when I put mine in! And I can t find it anywhere; I have looked all over the house. I put MY pie into a nice hot oven at the top. I could not turn any of the other handles; I think that they are all shams,"" said Duchess, ""but I wish I could have removed the pie made of mouse! I cannot think what she has done with it? I heard Ribby coming and I had to run out by the back door!"""
the-pie-and-the-patty-pan,Duchess went home and brushed her beautiful black coat; and then she picked a bunch of flowers in her garden as a present for Ribby; and passed the time until the clock struck four.
the-pie-and-the-patty-pan,Ribby--having assured herself by careful search that there was really no one hiding in the cupboard or in the larder--went upstairs to change her dress.
the-pie-and-the-patty-pan,"She put on a lilac silk gown, for the party, and an embroidered muslin apron and tippet."
the-pie-and-the-patty-pan,"""It is very strange,"" said Ribby, ""I did not THINK I left that drawer pulled out; has somebody been trying on my mittens?"""
the-pie-and-the-patty-pan,"She came downstairs again, and made the tea, and put the teapot on the hob."
the-pie-and-the-patty-pan,"She peeped again into the BOTTOM oven, the pie had become a lovely brown, and it was steaming hot."
the-pie-and-the-patty-pan,She sat down before the fire to wait for the little dog.
