document_id,text
what-the-goodman-does-is-always-right,I WILL tell you a story that was told to me when I was a little boy.
what-the-goodman-does-is-always-right,Every time I think of this story it seems to me more and more charming; for it is with stories as it is with many people--they become better as they grow older.
what-the-goodman-does-is-always-right,"I have no doubt that you have been in the country and seen a very old farmhouse, with thatched roof, and mosses and small plants growing wild upon it."
what-the-goodman-does-is-always-right,"There is a stork's nest on the ridge of the gable, for we cannot do without the stork."
what-the-goodman-does-is-always-right,"The walls of the house are sloping, and the windows are low, and only one of the latter is made to open."
what-the-goodman-does-is-always-right,The baking oven sticks out of the wall like a great knob.
what-the-goodman-does-is-always-right,"An elder tree hangs over the palings, and beneath its branches, at the foot of the paling, is a pool of water in which a few ducks are sporting."
what-the-goodman-does-is-always-right,"There is a yard dog, too, that barks at all comers."
what-the-goodman-does-is-always-right,"Just such a farmhouse as this stood in a country lane, and in it dwelt an old couple, a peasant and his wife."
what-the-goodman-does-is-always-right,"Small as their possessions were, they had one thing they could not do without, and that was a horse, which contrived to live upon the grass found by the side of the highroad."
what-the-goodman-does-is-always-right,"The old peasant rode into the town upon this horse, and his neighbors often borrowed it of him and paid for the loan of it by rendering some service to the old couple."
what-the-goodman-does-is-always-right,Yet after a time the old people thought it would be as well to sell the horse or exchange it for something which might be more useful to them.
what-the-goodman-does-is-always-right,But what should this _something_ be?
what-the-goodman-does-is-always-right,"""You will know best, old man,"" said the wife."
what-the-goodman-does-is-always-right,"""It is fair day to-day; so ride into town and get rid of the horse for money or make a good exchange. Whichever you do will please me; so ride to the fair."""
what-the-goodman-does-is-always-right,"She fastened his neckerchief for him, for she could do that better than he could and she could also tie it very prettily in a double bow."
what-the-goodman-does-is-always-right,She also smoothed his hat round and round with the palm of her hand and gave him a kiss.
what-the-goodman-does-is-always-right,"Then he rode away upon the horse that was to be sold, or bartered for something else."
what-the-goodman-does-is-always-right,"Yes, the goodman knew what he was about."
what-the-goodman-does-is-always-right,"The sun shone with great heat, and not a cloud was to be seen in the sky."
