document_id,text
white-hare-and-crocodiles,"Long, long ago, when all the animals could talk, there lived in the province of Inaba in Japan, a little white hare."
white-hare-and-crocodiles,His home was on the island of Oki.
white-hare-and-crocodiles,Just across the sea was the mainland of Inaba.
white-hare-and-crocodiles,Now the hare wanted very much to cross over to Inaba.
white-hare-and-crocodiles,Day after day he would go out and sit on the shore and look longingly over the water in the direction of Inaba.
white-hare-and-crocodiles,Day after day he hoped to find some way of getting across.
white-hare-and-crocodiles,"One day as usual, the hare was standing on the beach, looking towards the mainland across the water, when he saw a great crocodile swimming near the island."
white-hare-and-crocodiles,"""This is very lucky!"" thought the hare."
white-hare-and-crocodiles,"""Now I shall be able to get my wish. I will ask the crocodile to carry me across the sea!"""
white-hare-and-crocodiles,But he was doubtful whether the crocodile would consent to do what wanted.
white-hare-and-crocodiles,So he thought instead of asking a favor he would try to get what he wanted by a trick.
white-hare-and-crocodiles,"So with a loud voice he called to the crocodile, and said: ""Oh, Mr. Crocodile, isn't it a lovely day?"""
white-hare-and-crocodiles,"The crocodile, who had come out all by itself that day to enjoy the bright sunshine, was just beginning to feel a bit lonely when the hare's cheerful greeting broke the silence."
white-hare-and-crocodiles,"The crocodile swam nearer the shore, very pleased to hear some one speak."
white-hare-and-crocodiles,"""I wonder who it was that spoke to me just now! Was it you, Mr. Hare? You must be very lonely all by yourself!"""
white-hare-and-crocodiles,"""Oh, no, I am not at all lonely,"" said the hare, ""but as it was such a fine day I came out here to enjoy myself. Won't you stop and play with me a little while?"""
white-hare-and-crocodiles,"The crocodile came out of the sea and sat on the shore, and the two played together for some time."
white-hare-and-crocodiles,"Then the hare said: ""Mr. Crocodile, you live in the sea and I live on this island. We do not often meet, so I know very little about you. Tell me, do you think the number of your company is greater than mine?"""
white-hare-and-crocodiles,"""Of course, there are more crocodiles than hares,"" answered the crocodile."
white-hare-and-crocodiles,"""Can you not see that for yourself? You live on this small island, while I live in the sea, which spreads through all parts of the world. If I call together all the crocodiles who dwell in the sea you hares will be as nothing compared to us!"""
white-hare-and-crocodiles,The crocodile was very conceited.
white-hare-and-crocodiles,"The hare, who meant to play a trick on the crocodile, said: ""Do you think it possible for you to call up enough crocodiles to form a line from this island across the sea to Inaba?"""
white-hare-and-crocodiles,"The crocodile thought for a moment and then answered: ""Of course, it is possible."""
white-hare-and-crocodiles,"""Then do try,"" said the crafty hare, ""and I will count the number from here!"""
white-hare-and-crocodiles,"The crocodile, who was very simple-minded, and who hadn't the least idea that the hare intended to play a trick on him, agreed to do what the hare asked."
white-hare-and-crocodiles,"He said: ""Wait a little while I go back into the sea and call my company together!"""
white-hare-and-crocodiles,The crocodile plunged into the sea and was gone for some time.
white-hare-and-crocodiles,"The hare, meanwhile, waited patiently on the shore."
white-hare-and-crocodiles,"At last the crocodile appeared, bringing with him a large number of other crocodiles."
white-hare-and-crocodiles,"""Look, Mr. Hare!"" said the crocodile, ""it is nothing for my friends to form a line between here and Inaba. There are enough crocodiles to stretch from here even as far as China or India. Did you ever see so many crocodiles?"""
white-hare-and-crocodiles,Then the whole company of crocodiles arranged themselves in the water so as to form a bridge between the Island of Oki and the mainland of Inaba.
white-hare-and-crocodiles,"When the hare saw the bridge of crocodiles, he said: ""How splendid! I did not believe this was possible. Now let me count you all! To do this, however, with your permission, I must walk over on your backs to the other side. Please be so good as not to move, or else I shall fall into the sea and be drowned!"""
white-hare-and-crocodiles,"So the hare hopped off the island on to the strange bridge of crocodiles, counting as he jumped from one crocodile's back to the other: ""Please keep quite still, or I shall not be able to count. One, two, three, four, five, six, seven, eight, nine-"""
white-hare-and-crocodiles,Thus the cunning hare walked right across to the mainland of Inaba.
white-hare-and-crocodiles,"Not content with getting his wish, he began to jeer at the crocodiles instead of thanking them."
white-hare-and-crocodiles,"He said, as he leapt off the last one's back: ""Oh! you stupid crocodiles, now I have done with you!"""
white-hare-and-crocodiles,And he was just about to run away as fast as he could.
white-hare-and-crocodiles,But he did not escape so easily.
white-hare-and-crocodiles,"So soon as the crocodiles understood that this was a trick played upon them by the hare so as to enable him to cross the sea, and that the hare was now laughing at them for their stupidity, they became furiously angry and made up their minds to take revenge."
white-hare-and-crocodiles,So some of them ran after the hare and caught him.
white-hare-and-crocodiles,Then they all surrounded the poor little animal and pulled out all his fur.
white-hare-and-crocodiles,"He cried out loudly and entreated them to spare him, but with each tuft of fur they pulled out they said: ""Serve you right!"""
white-hare-and-crocodiles,"When the crocodiles had pulled out the last bit of fur, they threw the poor hare on the beach, and all swam away laughing at what they had done."
white-hare-and-crocodiles,"The hare was now in a pitiful plight, all his beautiful white fur had been pulled out."
white-hare-and-crocodiles,His bare little body was quivering with pain and bleeding all over.
white-hare-and-crocodiles,He could hardly move.
white-hare-and-crocodiles,All he could do was to lie on the beach quite helpless and weep over the misfortune that had befallen him.
white-hare-and-crocodiles,"Despite that it was his own fault that had brought all this misery and suffering upon the white hare of Inaba, any one seeing the poor little creature could not help feeling sorry for him in his sad condition."
white-hare-and-crocodiles,The crocodiles had been very cruel in their revenge.
white-hare-and-crocodiles,"Just at this time a number of men, who looked like King's sons, happened to pass by."
white-hare-and-crocodiles,"Seeing the hare lying on the beach crying, they stopped and asked what was the matter."
white-hare-and-crocodiles,"The hare lifted up his head from between his paws, and answered them, saying: ""I had a fight with some crocodiles, but I was beaten. They pulled out all my fur and left me to suffer here-that is why I am crying."""
white-hare-and-crocodiles,Now one of these young men had a bad and spiteful disposition.
white-hare-and-crocodiles,"But he feigned kindness, and said to the hare: ""I feel very sorry for you. If you will only try it, I know of a remedy which will cure your sore body. Go and bathe yourself in the sea, and then come and sit in the wind. This will make your fur grow again, and you will be just as you were before."""
white-hare-and-crocodiles,Then all the young men passed on.
white-hare-and-crocodiles,"The hare was very pleased, thinking that he had found a cure."
white-hare-and-crocodiles,He went and bathed in the sea and then came out and sat where the wind could blow upon him.
white-hare-and-crocodiles,"But as the wind blew and dried him, his skin became drawn and hardened, and the salt increased the pain so much that he rolled on the sand in his agony and cried aloud."
white-hare-and-crocodiles,"Just then another King's son passed by, carrying a great bag on his back."
white-hare-and-crocodiles,"He saw the hare, and stopped and asked why he was crying so loudly."
white-hare-and-crocodiles,"But the poor hare, remembering that he had been deceived by one very like the man who now spoke to him, did not answer, but continued to cry."
white-hare-and-crocodiles,"But this man had a kind heart, and looked at the hare very pityingly, and said: ""You poor thing! I see that your fur is all pulled out and that your skin is quite bare. Who can have treated you so cruelly?"""
white-hare-and-crocodiles,When the hare heard these kind words he felt very grateful to the man.
white-hare-and-crocodiles,Encouraged by his gentle manner the hare told him all that had befallen him.
white-hare-and-crocodiles,"The little animal hid nothing from his friend, but told him frankly how he had played a trick on the crocodiles and how he had come across the bridge they had made, thinking that he wished to count their number."
white-hare-and-crocodiles,"He told him how he had jeered at them for their stupidity, and then how the crocodiles had revenged themselves on him."
white-hare-and-crocodiles,Then he went on to say how he had been deceived by a party of men who looked very like his kind friend.
white-hare-and-crocodiles,The hare ended his long tale of woe by begging the man to give him some medicine that would cure him and make his fur grow again.
white-hare-and-crocodiles,"When the hare had finished his story, the man was full of pity towards him, and said: ""I am very sorry for all you have suffered, but remember, it was only the consequence of the deceit you practiced on the crocodiles."""
white-hare-and-crocodiles,"""I know,"" answered the sorrowful hare, ""but I have repented and made up my mind never to use deceit again. I beg you to show me how I may cure my sore body and make the fur grow again."""
white-hare-and-crocodiles,"""Then I will tell you of a good remedy,"" said the man."
white-hare-and-crocodiles,"""First go and bathe well in that pond over there and try to wash all the salt from your body. Then pick some of those kaba flowers that are growing near the edge of the water. Spread them on the ground and roll yourself on them. If you do this the pollen will cause your fur to grow again, and you will be quite well in a little while."""
white-hare-and-crocodiles,"The hare was very glad to be told what to do, so kindly."
white-hare-and-crocodiles,"He crawled to the pond pointed out to him, bathed well in it."
white-hare-and-crocodiles,"He then picked the kaba flowers growing near the water, and rolled himself on them."
white-hare-and-crocodiles,"To his amazement, even while he was doing this, he saw his nice white fur growing again."
white-hare-and-crocodiles,"The pain ceased, and he felt just as he had done before all his misfortunes."
white-hare-and-crocodiles,The hare was overjoyed at his quick recovery.
white-hare-and-crocodiles,"He went hopping joyfully towards the young man who had so helped him, and kneeling down at his feet, said: ""I cannot express my thanks for all you have done for me! It is my earnest wish to do something for you in return. Please tell me who you are?"""
white-hare-and-crocodiles,"""I am no King's son as you think me. I am a fairy, and my name is Okuni-nushi-no-Mikoto,"" answered the man."
white-hare-and-crocodiles,"""Those beings who passed here before me are my brothers. They have heard of a beautiful Princess called Yakami who lives in this province of Inaba, and they are on their way to find her and to ask her to marry one of them. But on this expedition I am only an attendant, so I am walking behind them with this great big bag on my back."""
white-hare-and-crocodiles,"The hare humbled himself before this great fairy Okuni-nushi-no-Mikoto, whom many in that part of the land worshiped as a god."
white-hare-and-crocodiles,"""Oh, I did not know that you were Okuni-nushi-no-Mikoto. How kind you have been to me! It is impossible to believe that that unkind fellow who sent me to bathe in the sea is one of your brothers. I am quite sure that the Princess, whom your brothers have gone to seek, will refuse to be the bride of any of them. She will prefer you for your goodness of heart. I am quite sure that you will win her heart without intending to do so, and she will ask to be your bride."""
white-hare-and-crocodiles,"Okuni-nushi-no-Mikoto took no notice of what the hare said, but bidding the little animal goodby, went on his way quickly and soon overtook his brothers."
white-hare-and-crocodiles,He found them just entering the Princess's gate.
