document_id,text
chronicle-of-pancake,"Once upon a time there was a woman who had seven hungry children, and she was baking pancakes for them."
chronicle-of-pancake,"There was dough made with new milk, and it lay in the pan, and was rising so plumply and comfortably, that it was a pleasure to watch it."
chronicle-of-pancake,"The children stood around it, and their grandfather sat and looked on."
chronicle-of-pancake,"""Give me a little bit of pancake, mother, I'm so hungry!"""
chronicle-of-pancake,said one of the children.
chronicle-of-pancake,"""Dear mother!"" said the second."
chronicle-of-pancake,"""Dear, sweet mother!"" said the third."
chronicle-of-pancake,"""Dear, sweet, good mother!"" said the fourth."
chronicle-of-pancake,"""Dear, best, sweet, good mother!"" said the fifth."
chronicle-of-pancake,"""Dear, best, sweet, good, dearest mother!"" said the sixth."
chronicle-of-pancake,"""Dear, best, sweet, good, dearest, sweetest mother!"" said the seventh, and so they all begged around the pancake, one more sweetly than the other, for they were all so hungry and so well-behaved."
chronicle-of-pancake,"""Yes, children, wait until it turns around,"" said she--until I have turned it around, she should have said--""then you shall all have a pancake, a lovely best-milk pancake. Just see how fat and comfortable it is lying there!"""
chronicle-of-pancake,"When the pancake heard that it was frightened, turned itself around suddenly, and wanted to get out of the pan."
chronicle-of-pancake,"But it only fell on its other side, and when this had baked a little, so that it took shape and grew firmer, it leaped out on the floor."
chronicle-of-pancake,"And it rolled off like a wheel, out of the door, and down the street."
chronicle-of-pancake,Hey there!
chronicle-of-pancake,"The woman was after it with the pan in one hand, and the spoon in the other, as fast as she could, and after her came the children, and last of all, their grandfather came hobbling along."
chronicle-of-pancake,"""Will you wait! Halt! Catch it! Hold it!"""
chronicle-of-pancake,"they all cried together, and wanted to catch up with it and grab it on the run; but the pancake rolled and rolled, and sure enough, it got so far ahead of them that they could no longer see it, for it had nimbler legs than all of them."
chronicle-of-pancake,After it had rolled a while it met a man.
chronicle-of-pancake,"""Good-day, pancake,"" said the man."
chronicle-of-pancake,"""Good-day, Man Tan,"" said the pancake."
chronicle-of-pancake,"""Dear, good pancake, don't roll so fast; but wait a little and let me eat you!"""
chronicle-of-pancake,said the man.
chronicle-of-pancake,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, so I think I can leave you as well, Man Tan!"" said the pancake, and rolled and rolled until it met a hen."
chronicle-of-pancake,"""Good-day, pancake,"" said the hen."
chronicle-of-pancake,"""Good-day, Hen Glen,"" said the pancake."
chronicle-of-pancake,"""Dear, good pancake, don't roll so fast, wait a little and I will eat you up!"" said the hen."
chronicle-of-pancake,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, and Man Tan, so I think I can leave you as well, Hen Glen!"" said the pancake, and rolled along the road like a wheel."
chronicle-of-pancake,Then it met a rooster.
chronicle-of-pancake,"""Good-day, pancake,"" said the rooster."
chronicle-of-pancake,"""Good-day, Rooster Booster,"" said the pancake."
chronicle-of-pancake,"""Dear, good pancake, don't roll so fast. Wait a little and I will eat you up!"" said the rooster."
chronicle-of-pancake,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, and Man Tan and Hen Glen, and so I think I can leave you as well, Rooster Booster,"" said the pancake, and rolled and rolled as fast as ever it could."
chronicle-of-pancake,And after it had rolled a long time it met a duck.
chronicle-of-pancake,"""Good-day, pancake,"" said the duck."
chronicle-of-pancake,"""Good-day, Duck Tuck,"" said the pancake."
chronicle-of-pancake,"""Dear, good pancake, don't roll so fast. Wait a little and I will eat you up!"""
chronicle-of-pancake,said the duck.
chronicle-of-pancake,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, and Man Tan, and Hen Glen and Rooster Booster, so I think I can leave you as well,"" said the pancake, and rolled on as fast as ever it could."
chronicle-of-pancake,"After it had rolled a long, long time, it met a goose."
chronicle-of-pancake,"""Good-day, pancake,"" said the goose."
chronicle-of-pancake,"""Good-day, Goose Loose,"" said the pancake."
chronicle-of-pancake,"""Dear, good pancake, don't roll so fast. Wait a little and I will eat you up!"""
chronicle-of-pancake,said the goose.
chronicle-of-pancake,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, and Man Tan and Hen Glen and Rooster Booster and Duck Tuck, and I think I can leave you as well, Goose Loose,"" said the pancake, and rolled away."
chronicle-of-pancake,"After it had again rolled for a long, long time, it met a gander."
chronicle-of-pancake,"""Good-day, pancake,"" said the gander."
chronicle-of-pancake,"""Good-day, Gander Meander,"" said the pancake."
chronicle-of-pancake,"""Dear, good pancake, don't roll so fast. Wait a little and I will eat you up!"""
chronicle-of-pancake,said the gander.
chronicle-of-pancake,"""Mother Gray and grandpa I've left behind, and the seven squallers, too, you'll find, and Man Tan and Hen Glen and Rooster Booster and Duck Tuck and Goose Loose, and I think I can leave you as well, Gander Meander,"" said the pancake, and began to roll as fast as ever it could."
chronicle-of-pancake,"After it had rolled a long, long time, it met a pig."
chronicle-of-pancake,"""Good-day, pancake,"" said the pig."
chronicle-of-pancake,"""Good-day, Pig Snig,"" said the pancake, and began to roll as fast as ever it could."
chronicle-of-pancake,"""Now wait a little,"" said the pig."
chronicle-of-pancake,"""You need not hurry so, for we can keep each other company going through the forest and take our time, for it is said to be haunted."""
chronicle-of-pancake,"The pancake thought that such was quite apt to be the case, and so they started off; but after they had gone a while they came to a brook."
chronicle-of-pancake,"The pig swam across on his own bacon, which was easy enough; but the pancake could not get across."
chronicle-of-pancake,"""Sit down on my snout,"" said the pig, ""and I will carry you over that way."""
chronicle-of-pancake,The pancake did so.
