document_id,text
first-born-first-wed,"Once upon a time there was a king who had a three-year old son, and was obliged to go to war against another king."
first-born-first-wed,"Then, when his ships sailed home again after he had gained a splendid victory, a storm broke out and his whole fleet was near sinking."
first-born-first-wed,But the king vowed he would sacrifice to the sea-queen the first male creature that came to meet him when he reached land and entered his capital.
first-born-first-wed,Thereby the whole fleet reached the harbor in safety.
first-born-first-wed,"But the five-year old prince, who had not seen his father for the past two years, and who was delighted with the thunder of the cannon as the ships came in, secretly slipped away from his attendants, and ran to the landing."
first-born-first-wed,"When the king came ashore he was the first to cast himself into his arms, weeping with joy."
first-born-first-wed,The king was frightened when he thought of the sea-queen.
first-born-first-wed,"He thought that, after all, the prince was only a child, and at any rate he could sacrifice the next person to step up to him after the prince."
first-born-first-wed,But from that time on no one could make a successful sea-trip.
first-born-first-wed,The people began to murmur because the king had not kept the promise he had made the sea-queen.
first-born-first-wed,"But the king and queen never allowed the prince out without a great escort, and he was never permitted to enter a ship, for all his desire to do so."
first-born-first-wed,"After a few years they gradually forgot the sea-queen, and when the prince was ten years old, a little brother came to join him."
first-born-first-wed,Not long after the older of the princes was out walking with his tutor and several other gentlemen.
first-born-first-wed,"And when they reached the end of the royal gardens by the sea-shore-it was a summer's day, unusually clear-they were suddenly enveloped by a thick cloud, which disappeared as swiftly as it had come."
first-born-first-wed,"And when it vanished, the prince was no longer there."
first-born-first-wed,"Nor did he return, to the great sorrow of the king, the queen and the whole country."
first-born-first-wed,In the meantime the young prince who was now the sole heir to the crown and kingdom grew up.
first-born-first-wed,"When he was sixteen, they began to think of finding a wife for him."
first-born-first-wed,"For the old king and queen wished to see him marry the daughter of some powerful monarch to whom they were allied, before they died."
first-born-first-wed,"With this in view, letters were written and embassies sent out to the most distant countries."
first-born-first-wed,"While these negotiations were being conducted, it began to be said that the sea-shore was haunted."
first-born-first-wed,"Various people had heard cries, and several who had walked by the sea-shore late in the evening had fallen ill."
first-born-first-wed,At length no one ventured to go there.
first-born-first-wed,"After eleven at night, because a voice kept crying from out at sea: ""First born, first wed!"""
first-born-first-wed,And when some one did venture nearer he did so at the risk of his life.
first-born-first-wed,At last these complaints came to the king's ear.
first-born-first-wed,"He called together his council, and it was decided to question a wise woman, who had already foretold many mysterious happenings, which had all taken place exactly as she had said they would."
first-born-first-wed,"When the wise woman was brought before the king she said it was the prince who had been taken into the sea who was calling, and that they would have to find him a bride, young, beautiful, and belonging to one of the noblest families of the land, and she must be no less than fifteen and no more than seventeen years old."
first-born-first-wed,That seemed a serious difficulty; for no one wished to give their daughter to a sea-king.
first-born-first-wed,"Yet, when there was no end to the cries and the commotion, the wise woman said, that first it might be well to build a little house by the sea, perhaps then the turmoil might die away."
