document_id,text
hans-in-luck,HANS had served his master seven years.
hans-in-luck,"At the end of the seventh year he said, ""Master, my time is up. I want to go home and see my mother, so give me my wages."""
hans-in-luck,"""You have served me truly and faithfully,"" said the master."
hans-in-luck,"""As the service is, so must the wages be,"" and he gave him a lump of gold as big as his head."
hans-in-luck,"Hans pulled his handkerchief out of his pocket and tied up the lump of gold in it, hoisted it on his shoulder, and set off on his way home."
hans-in-luck,"And as he was trudging along, there came in sight a man riding on a spirited horse, and looking very gay and lively."
hans-in-luck,"""Oh!"" cried Hans aloud, ""how splendid riding must be! Sitting as much at one's ease as in an arm-chair, stumbling over no stones, saving one's shoes, and getting on one hardly knows how!"""
hans-in-luck,"The horseman heard Hans say this, and called out to him, ""Well Hans, what are you doing on foot?"""
hans-in-luck,"""I can't help myself,"" said Hans, ""I have this great lump to carry. To be sure, it is gold, but then I can't hold my head straight for it, and it hurts my shoulder."""
hans-in-luck,"""I'll tell you what,"" said the horseman, ""we will change. I will give you my horse, and you shall give me your lump of gold."""
hans-in-luck,"""With all my heart,"" said Hans."
hans-in-luck,"""But I warn you, you will find it heavy."""
hans-in-luck,And the horseman got down and took the gold.
hans-in-luck,"Helping Hans up, he gave the reins into his hand."
hans-in-luck,"""When you want to go fast,"" said he, ""you must click your tongue and cry 'Gee-up!'"""
hans-in-luck,"And Hans, as he sat upon his horse, was glad at heart, and rode off with merry cheer."
hans-in-luck,"After a while he thought he should like to go quicker, so he began to click with his tongue and to cry ""Gee-up!"""
hans-in-luck,"And the horse began to trot, and Hans was thrown before he knew what was going to happen."
hans-in-luck,There he lay in the ditch by the side of the road.
hans-in-luck,The horse would have got away but that he was caught by a peasant who was passing that way and driving a cow before him.
hans-in-luck,"And Hans pulled himself together and got upon his feet, feeling very vexed."
hans-in-luck,"""Poor work, riding,"" said he."
hans-in-luck,"""Especially on a jade like this, who starts off and throws you before you know where you are, going near to break your neck. Never shall I try that game again. Now, your cow is something worth having. One can jog on comfortably after her and have her milk, butter, and cheese every day, into the bargain. What would I not give to have such a cow!"""
hans-in-luck,"""Well now,"" said the peasant, ""since it will be doing you such a favour, I don't mind exchanging my cow for your horse."""
hans-in-luck,"Hans agreed most joyfully, and the peasant, swinging himself into the saddle, was soon out of sight."
hans-in-luck,"And Hans went along driving his cow quietly before him, and thinking all the while of the fine bargain he had made."
hans-in-luck,"""With only a piece of bread I shall have everything I can possibly want, for I shall always be able to have butter and cheese to it. If I am thirsty I have nothing to do but to milk my cow. What more is there for heart to wish!"""
hans-in-luck,"And when he came to an inn he made a halt, and in the joy of his heart ate up all the food he had brought with him, dinner and supper and all."
hans-in-luck,He bought half a glass of beer with his last two farthings.
hans-in-luck,"Then on he went again driving his cow, until he should come to the village where his mother lived."
hans-in-luck,"It was now near the middle of the day, and the sun grew hotter and hotter."
hans-in-luck,Hans found himself on a heath which it would be an hour's journey to cross.
hans-in-luck,"And he began to feel very hot, and so thirsty that his tongue clove to the roof of his mouth."
hans-in-luck,"""Never mind,"" said Hans."
hans-in-luck,"""I can find a remedy. I will milk my cow at once."""
hans-in-luck,"And tying her to a dry tree, and taking off his leather cap to serve for a pail, he began to milk, but not a drop came."
hans-in-luck,"And as he set to work rather awkwardly, the impatient beast gave him such a kick on the head with his hind foot that he fell to the ground."
hans-in-luck,For some time could not think where he was.
hans-in-luck,When luckily there came by a butcher who was wheeling along a young pig in a wheelbarrow.
hans-in-luck,"""Here's a fine piece of work!"" cried he, helping poor Hans on his legs again."
hans-in-luck,Then Hans related to him all that had happened.
hans-in-luck,"The butcher handed him his pocket-flask, saying, ""Here, take a drink, and be a man again. Of course the cow would give no milk. She is old and only fit to draw burdens, or to be slaughtered."""
hans-in-luck,"""Well, to be sure,"" said Hans, scratching his head."
hans-in-luck,"""Who would have thought it? of course it is a very handy way of getting meat when a man has a beast of his own to kill. For my part I do not care much about cow beef, it is rather tasteless. Now, if I had but a young pig, that is much better meat, and then the sausages!"""
hans-in-luck,"""Look here, Hans,"" said the butcher, ""just for love of you I will exchange, and will give you my pig instead of your cow."""
hans-in-luck,"""Heaven reward such kindness!"" cried Hans."
