document_id,text
master-girl,Once upon a time there was a king who had several sons.
master-girl,"I do not just know how many there were, but the youngest was not content at home."
master-girl,He insisted on going out into the world to seek his fortune.
master-girl,And in the end the king had to give him permission to do so.
master-girl,"After he had wandered for a few days, he came to a giant's castle, and took service with the giant."
master-girl,"In the morning the giant wanted to go off to herd his goats, and when he started he told the king's son he was to clean the stable in the meantime."
master-girl,"""And when you are through with that, you need do nothing more for to-day, for you might as well know that you have come to a kind master,"" said he."
master-girl,"""But you must do what you are told to do conscientiously and, besides, you must not go into any of the rooms that lie behind the one in which you slept last night, else your life will pay the forfeit."""
master-girl,"""He surely is a kind master,"" said the king's son to himself, walked up and down the room, and whistled and sang."
master-girl,He thought there would be plenty of time to clean the stable.
master-girl,"""But it would be nice to take a look at the other room, there surely must be something in it that he is alarmed about, since I am not so much as to take a look,"" thought he, and went into the first room."
master-girl,"There hung a kettle, and it was boiling, but the king's son could find no fire beneath it."
master-girl,"""What can there be in it?"" thought he, and dipped in a lock of his hair, and at once the hair grew just like copper."
master-girl,"""That's a fine soup, and whoever tastes it will burn his mouth,"" said the youth, and went into the next room."
master-girl,There hung another kettle that bubbled and boiled.
master-girl,"But there was no fire beneath it, either."
master-girl,"""I must try this one, too,"" said the king's son, and again he dipped in a lock of his hair and it grew just like silver."
master-girl,"""We have no such expensive soup at home,"" said the king's son, ""but the main thing is, how does it taste?"""
master-girl,and with that he went into the third room.
master-girl,"And there hung still another kettle, a-boiling just like those in the two other rooms, and the king's son wanted to try this one, too."
master-girl,"He dipped in a lock of his hair, and it came out like pure gold, and fairly shimmered."
master-girl,"Then the king's son said: ""Better and better! But if he cooks gold here, I wonder what he cooks inside, there?"""
master-girl,"And he wanted to see, so he went into the fourth room."
master-girl,Here there was no kettle to be seen.
master-girl,But a maiden sat on a bench who must have been a king's daughter.
master-girl,"Yet whatever she might be, the king's son had never seen any one so beautiful in all his days."
master-girl,"""Now in heaven's name, what are you doing here?"""
master-girl,asked the maiden.
master-girl,"""I hired myself out here yesterday,"" said the king's son."
master-girl,"""May God be your aid, for it is a fine service you have chosen!"""
master-girl,said she.
master-girl,"""O, the master is very friendly,"" said the king's son."
master-girl,"""He has given me no hard work to do to-day. When I have cleaned out the stable, I need do nothing more."""
master-girl,"""Yes, but how are you going to manage it?"""
master-girl,she went on.
master-girl,"""If you do as the others have done, then for every shovelful you pitch out, ten fresh shovelfuls will fly in. But I'll tell you how to go about it. You must turn around the shovel, and work with the handle, then everything will fly out by itself."""
master-girl,"This he would do, said the king's son."
master-girl,"He sat there with her all day long, for they had soon agreed that they would marry, he and the king's daughter, and in this way his first day in the giant's service did not weary him at all."
master-girl,"When evening came on, she told him that now he must clean out the stable before the giant came."
master-girl,"When he got there he thought he would try out her advice, and began to use the shovel as he had seen his father's grooms use it."
master-girl,"And sure enough, he had to stop quickly."
master-girl,"After he had worked a little while, he hardly had room in which to stand."
master-girl,"Then he did as the king's daughter had told him, turned the shovel around and used the handle."
master-girl,And in a wink the stable was as clean as though it had been scrubbed.
master-girl,"When he had finished he went to the room that the giant had assigned him, and walked up and down, whistling and singing."
