document_id,text
murmur-goose-egg,"ONCE upon a time there were five women who were standing in a field, mowing."
murmur-goose-egg,"Heaven had not given a single one of them a child, and each of them wanted to have one."
murmur-goose-egg,"And suddenly they saw a goose-egg of quite unheard-of size, well-nigh as large as a man's head."
murmur-goose-egg,"""I saw it first,"" said the one."
murmur-goose-egg,"""I saw it at the same time that you did,"" insisted another."
murmur-goose-egg,"""But I want it, for I saw it first of all,"" maintained a third."
murmur-goose-egg,"And thus they went on, and fought so about the egg that they nearly came to blows."
murmur-goose-egg,"Finally they agreed that it should belong to all five of them, and that all of them should sit on it, as a goose would do, and hatch out the little gosling."
murmur-goose-egg,"The first remained sitting on the egg for eight days, and hatched, and did not move or do a thing."
murmur-goose-egg,During this time the rest had to feed her and themselves as well.
murmur-goose-egg,One of them grew angry because of this and scolded.
murmur-goose-egg,"""You did not crawl out of the egg either before you could cry peep!"" said the one who was sitting on the egg and hatching."
murmur-goose-egg,"""Yet I almost believe that a human child is going to slip out of the egg, for something is murmuring inside it without ever stopping: Herring and mush, porridge and milk,"" said she."
murmur-goose-egg,"""And now you can sit on it for eight days, while we bring you food."""
murmur-goose-egg,"When the fifth day of the eight had passed, it was plain to her that there was a child in the egg, which kept on calling: ""Herring and mush, porridge and milk,"" and so she punched a hole in the egg."
murmur-goose-egg,Instead of a gosling out came a child.
murmur-goose-egg,"It was quite disgustingly homely, with a big head and a small body."
murmur-goose-egg,"No sooner had it crawled out than it began to cry: ""Herring and mush, porridge and milk!"""
murmur-goose-egg,So they named the child Murmur Goose-Egg.
murmur-goose-egg,"In spite of the child's homeliness, the women at first took a great deal of pleasure in him."
murmur-goose-egg,"But before long, he grew so greedy that he devoured everything they had."
murmur-goose-egg,"When they cooked a dish of mush or a potful of porridge that was to do for all six of them, the child swallowed it all by himself."
murmur-goose-egg,So they did not want to keep him any longer.
murmur-goose-egg,"""I have not had a single full meal since the changling crawled out,"" said one of them."
