document_id,text
queen-crane,"Once upon a time there was a poor, poor boy."
queen-crane,"He went to the king and begged to be taken into service as a shepherd, and all called him ""Sheep-Peter."""
queen-crane,"While he was herding his sheep, he used to amuse himself with his crossbow."
queen-crane,"One day he saw a crane sitting in an oak-tree, and wanted to shoot her."
queen-crane,"The crane, however, hopped down further and further, and at last settled in the lowest branches."
queen-crane,"Then she said: ""If you promise not to shoot me, I will help you whenever you are in trouble. You need only to call out: 'God aid me, and Queen Crane stay by me, and I will succeed!'"""
queen-crane,With that the bird flew away.
queen-crane,At length war broke out and the king had to take the field.
queen-crane,Then Sheep-Peter came to the king and asked whether he might not be allowed to go along to war.
queen-crane,"They gave him an old nag to ride, and he rode into a swamp along the highway, and there the horse died."
queen-crane,So he sat down and clicked with his tongue; but the horse would not move.
queen-crane,And the people who rode by had their sport with him; while the youth pretended to feel sad.
queen-crane,"When the people had all passed by, the youth went to the oak in which the Queen Crane dwelt."
queen-crane,"Here he was given a black steed, a suit of brazen armor, and a silver sword."
queen-crane,Thus he rode to battle and got there as quickly as he could wish.
queen-crane,"Then he said: ""God aid me, and Queen Crane stay by me, and I will succeed!"""
queen-crane,With that he killed all the enemy and rode away again.
queen-crane,"But the king thought that an angel had come to help him, and wanted to hold him back."
queen-crane,"The youth, however, rode quickly back to the oak, took off his armor, went down to the swamp, and once more began to click to his horse."
queen-crane,"When the people rode by they laughed and said: ""You were not along to-day, so you missed seeing how an angel came and killed all the enemy."""
queen-crane,"And the youth pretended to feel sad, so sad."
queen-crane,The following day the king once more had to take the field.
queen-crane,And Sheep-Peter came to him and said he wanted to go along.
queen-crane,"So they gave him an old nag to ride, and he rode into a swamp beside the highway."
queen-crane,Then he sat down and clicked with his tongue; but the horse would not move.
queen-crane,"When the people rode by they had their sport with him; but the youth pretended to feel sad, so sad."
queen-crane,"When the people had gone by, he went to the oak in which the Queen Crane dwelt, and was given a white steed, a suit of silver armor, and a golden sword."
queen-crane,Thus equipped he rode to battle.
queen-crane,"When he arrived he said: ""God aid me, and Queen Crane ... and I will succeed!"""
queen-crane,"But he had forgotten to say ""stay by me,"" and so he was shot in the leg."
queen-crane,"But the king took out his handkerchief, and tied up his leg."
queen-crane,"Then the youth said once more: ""God aid me, and Queen Crane stay by me, and I will succeed!"""
queen-crane,And he slew all of the enemy.
queen-crane,"Then the king thought he was an angel from heaven, and wanted to hold him."
queen-crane,"But the youth rode quickly to the oak, took off his armor, and then went down to his nag in the swamp and tried to get it to move, while the soldiers were passing."
queen-crane,"They laughed and said: ""You were not along to-day, and did not see how an angel came from heaven and killed all of the enemy."""
queen-crane,The youth pretended to be very sad.
queen-crane,On the third day all happened as before.
queen-crane,The king took the field.
queen-crane,The youth was given a wretched nag and rode it into a swamp beside the highway.
queen-crane,"Then he began to click with his tongue but the nag would not go on, and the people who rode past laughed at him."
queen-crane,"He pretended to feel very sad; but when the people had passed, he went to the oak in which Queen Crane dwelt, and she gave him a red steed, a golden sword, and a golden suit of armor."
queen-crane,"Thus equipped he rode to war, and all happened as before."
queen-crane,"He said: ""God aid me, and Queen Crane stay by me, and I will succeed!"""
queen-crane,and slew all the enemy.
queen-crane,"The king thought he was an angel from heaven and wanted to hold him back by all means; but the youth rode quickly to the oak, took off his armor, and rode down to the swamp where he had his three nags."
queen-crane,"He hid the king's handkerchief, and when the people passed by he was clicking with his tongue as usual."
queen-crane,"Now the king had three princesses, and they were to be carried off by three meer-women."
queen-crane,So the king had it proclaimed that whoever could rescue them should receive one of them for a wife.
queen-crane,"When the day came on which the oldest princess was to be carried away, Sheep-Peter received a steed, a suit of armor and a sword from Queen Crane."
