document_id,text
the-brown-bear-of-norway,"There was once a king in Ireland, and he had three daughters, and very nice princesses they were."
the-brown-bear-of-norway,"And one day, when they and their father were walking on the lawn, the king began to joke with them, and to ask them whom they would like to be married to."
the-brown-bear-of-norway,"'I'll have the king of Ulster for a husband,' says one; 'and I'll have the king of Munster,' says another; 'and,' says the youngest, 'I'll have no husband but the Brown Bear of Norway.'"
the-brown-bear-of-norway,"For a nurse of hers used to be telling her of an enchanted prince that she called by that name, and she fell in love with him, and his name was the first name on her tongue, for the very night before she was dreaming of him."
the-brown-bear-of-norway,"Well, one laughed, and another laughed, and they joked with the princess all the rest of the evening."
the-brown-bear-of-norway,"But that very night she woke up out of her sleep in a great hall that was lighted up with a thousand lamps; the richest carpets were on the floor, and the walls were covered with cloth of gold and silver, and the place was full of grand company, and the very beautiful prince she saw in her dreams was there, and it wasn't a moment till he was on one knee before her, and telling her how much he loved her, and asking her wouldn't she be his queen."
the-brown-bear-of-norway,"Well, she hadn't the heart to refuse him, and married they were the same evening."
the-brown-bear-of-norway,"'Now, my darling,' says he, when they were left by themselves, 'you must know that I am under enchantment. A sorceress, that had a beautiful daughter, wished me for her son-in-law; but the mother got power over me, and when I refused to wed her daughter she made me take the form of a bear by day, and I was to continue so till a lady would marry me of her own free will, and endure five years of great trials after.'"
the-brown-bear-of-norway,"Well, when the princess woke in the morning, she missed her husband from her side, and spent the day very sadly."
the-brown-bear-of-norway,"But as soon as the lamps were lighted in the grand hall, where she was sitting on a sofa covered with silk, the folding doors flew open, and he was sitting by her side the next minute."
the-brown-bear-of-norway,"So they spent another happy evening, but he warned her that whenever she began to tire of him, or ceased to have faith in him, they would be parted for ever, and he'd be obliged to marry the witch's daughter."
the-brown-bear-of-norway,"She got used to find him absent by day, and they spent a happy twelvemonth together, and at last a beautiful little boy was born; and happy as she was before, she was twice as happy now, for she had her child to keep her company in the day when she couldn't see her husband."
the-brown-bear-of-norway,"At last, one evening, when herself, and himself, and her child were sitting with a window open because it was a sultry night, in flew an eagle, took the infant's sash in his beak, and flew up in the air with him."
