document_id,text
the-elfin-knight,"There is a lone moor in Scotland, which, in times past, was said to be haunted by an Elfin Knight."
the-elfin-knight,"This Knight was only seen at rare intervals, once in every seven years or so, but the fear of him lay on all the country round, for every now"
the-elfin-knight,and then someone would set out to cross the moor and would never be heard of again.
the-elfin-knight,"And although men might search every inch of the ground, no trace of him would be found, and with a thrill of horror the searching party would go home again, shaking their heads and whispering to one another that he had fallen into the hands of the dreaded Knight."
the-elfin-knight,"So, as a rule, the moor was deserted, for nobody dare pass that way, much less live there; and by and by it became the haunt of all sorts of wild animals, which made their lairs there, as they found that they never were disturbed by mortal huntsmen."
the-elfin-knight,"Now in that same region lived two young earls, Earl St. Clair and Earl Gregory, who were such friends that they rode, and hunted, and fought together, if need be."
the-elfin-knight,"And as they were both very fond of the chase, Earl Gregory suggested one day that they should go a-hunting on the haunted moor, in spite of the Elfin King."
the-elfin-knight,"""Certes, I hardly believe in him at all,"" cried the young man, with a laugh."
the-elfin-knight,"""Methinks it is but an old wife's tale to frighten the bairns withal, lest they go straying amongst the heather and lose themselves. And it is pity that such fine sport should be lost because we--two bearded men--pay heed to such gossip."""
the-elfin-knight,But Earl St. Clair looked grave.
the-elfin-knight,"""It is ill meddling with unchancy things,"" he answered, ""and it is no bairn's tale that travellers have set out to cross that moor who have vanished bodily, and never mair been heard of; but it is, as thou sayest, a pity that so much good sport be lost, all because an Elfin Knight choosest to claim the land as his, and make us mortals pay toll for the privilege of planting a foot upon it. ""I have heard tell, however, that one is safe from any power that the Knight may have if one wearest the Sign of the Blessed Trinity."
the-elfin-knight,"So let us bind That on our arm and ride forth without fear."" Sir Gregory burst into a loud laugh at these words. ""Dost thou think that I am one of the bairns,"" he said, ""first to be frightened by an idle tale, and then to think that a leaf of clover will protect me?"
the-elfin-knight,"No, no, carry that Sign if thou wilt; I will trust to my good bow and arrow."" But Earl St. Clair did not heed his companion's words, for he remembered how his mother had told him, when he was a little lad at her knee that whoso carried the Sign of the Blessed Trinity need never fear any spell that might be thrown over him by Warlock or Witch, Elf or Demon. So he went out to the meadow and plucked a leaf of clover, which he bound on his arm with a silken scarf; then he mounted his horse and rode with Earl Gregory to the desolate and lonely moorland. For some hours all went well; and in the heat of the chase the young men forgot their fears. Then suddenly both of them reined in their steeds and sat gazing in front of them with affrighted faces. For a horseman had crossed their track, and they both would fain have known who he was and whence he came. ""By my troth, but he rideth in haste, whoever he may be,"" said Earl Gregory at last, ""and though I always thought that no steed on earth could match mine for swiftness, I reckon that for every league that mine goeth, his would go seven."
the-elfin-knight,"Let us follow him, and see from what part of the world he cometh."" ""The Lord forbid that thou shouldst stir thy horse's feet to follow him,"" said Earl St. Clair devoutly. ""Why, man, it is the Elfin Knight!"
the-elfin-knight,"Canst thou not see that he doth not ride on the solid ground, but flieth through the air, and that, although he rideth on what seemeth a mortal steed, he is really craried by mighty pinions, which cleave the air like those of a bird?"
the-elfin-knight,Follow him forsooth!
the-elfin-knight,"It will be an evil day for thee when thou seekest to do that."" But Earl St. Clair forgot that he carried a Talisman which his companion lacked, that enabled him to see things as they really were, while the other's eyes were holden, and he was startled and amazed when Earl Gregory said sharply, ""Thy mind hath gone mad over this Elfin King."
the-elfin-knight,"I tell thee he who passed was a goodly Knight, clad in a green vesture, and riding on a great black jennet."
