document_id,text
the-escape-of-the-mouse,Manawyddan the prince and his friend Pryderi were wanderers.
the-escape-of-the-mouse,The brother of Manawyddan had been slain.
the-escape-of-the-mouse,His throne was taken from him.
the-escape-of-the-mouse,"Very sorrowful was Manawyddan, but Pryderi was stout of heart, and bade him be of good cheer."
the-escape-of-the-mouse,He knew a way out of his trouble. ' And what may that be?' asked Manawyddan.
the-escape-of-the-mouse,'It is that thou marry my mother Rhiannon and become lord of the fair lands that I will give her for dowry. Never did any lady have more wit than she. In her youth none was more lovely; even yet she is good to look upon.'
the-escape-of-the-mouse,"'Thou art the best friend that ever a man had,' said Manawyddan."
the-escape-of-the-mouse,"'Let us go now to seek Rhiannon, and the lands where she dwells.'"
the-escape-of-the-mouse,"Then they set forth, but the news of their coming ran swifter still."
the-escape-of-the-mouse,"Rhiannon and Kieva, wife of Pryderi, made haste to prepare a feast for them."
the-escape-of-the-mouse,"And Manawyddan found that Pryderi had spoken the truth concerning his mother, and asked if she would take him for her husband."
the-escape-of-the-mouse,"Right gladly did she consent, and without delay they were married, and rode away to the hunt, Rhiannon and Manawyddan, Kieva and Pryderi."
the-escape-of-the-mouse,"They would not be parted from each other by night or by day, so great was the love between them."
the-escape-of-the-mouse,"One day, when they were returned, they were sitting out in a green place."
the-escape-of-the-mouse,Suddenly the crash of thunder struck loudly on their ears.
the-escape-of-the-mouse,"A wall of mist fell between them, so that they were hidden one from the other."
the-escape-of-the-mouse,Trembling they sat till the darkness fled and the light shone again upon them.
the-escape-of-the-mouse,"In the place where they were wont to see cattle, and herds, and dwellings, they beheld neither house nor beast, nor man nor smoke."
the-escape-of-the-mouse,Neither was any one remaining in the green place save these four only.
the-escape-of-the-mouse,"'Whither have they gone, and my host also?' cried Manawyddan."
the-escape-of-the-mouse,"They searched the hall, and there was no man, and the castle, and there was none."
the-escape-of-the-mouse,In the dwellings that were left was nothing save wild beasts.
the-escape-of-the-mouse,"For a year these four fed on the meat that Manawyddan and Pryderi killed out hunting, and the honey of the bees that sucked the mountain heather."
the-escape-of-the-mouse,"For a time they desired nothing more, but when the next year began they grew weary."
the-escape-of-the-mouse,"'We cannot spend our lives thus,' said Manawyddan at last, 'let us go into England and learn some trade by which we may live.'"
the-escape-of-the-mouse,"So they left Wales, and went to Hereford."
the-escape-of-the-mouse,"There they made saddles, while Manawyddan fashioned blue enamel ornaments to put on their trappings."
the-escape-of-the-mouse,And so greatly did the townsfolk love these saddles.
the-escape-of-the-mouse,"No others were bought throughout the whole of Hereford, till the saddlers banded together and resolved to slay Manawyddan and his companions."
the-escape-of-the-mouse,"When Pryderi heard of it, he was very wroth, and wished to stay and fight."
the-escape-of-the-mouse,But the counsels of Manawyddan prevailed.
the-escape-of-the-mouse,They moved by night to another city.
the-escape-of-the-mouse,' What craft shall we follow?' asked Pryderi.
the-escape-of-the-mouse,"'We will make shields,' answered Manawyddan. ' But do we know anything of that craft?' answered Pryderi."
the-escape-of-the-mouse,"'We will try it,' said Manawyddan."
the-escape-of-the-mouse,"They began to make shields, and fashioned them after the shape of the shields they had seen."
the-escape-of-the-mouse,These likewise they enamelled.
the-escape-of-the-mouse,And so greatly did they prosper that no man in the town bought a shield except they had made it.
the-escape-of-the-mouse,"The shield-makers banded together as the saddlers had done, and resolved to slay them."
the-escape-of-the-mouse,"But of this they had warning, and by night betook themselves to another town."
the-escape-of-the-mouse,"'Let us take to making shoes,' said Manawyddan, 'for there are not any among the shoemakers bold enough to fight us.'"
the-escape-of-the-mouse,"'I know nothing of making shoes,' answered Pryderi, who in truth despised so peaceful a craft. ' But I know,' replied Manawyddan, 'and I will teach thee to stitch. We will buy the leather ready dressed, and will make the shoes from it.'"
the-escape-of-the-mouse,"Then straightway he sought the town for the best leather, and for a goldsmith to fashion the clasps."
the-escape-of-the-mouse,"He himself watched till it was done, so that he might learn for himself."
the-escape-of-the-mouse,"Soon he became known as 'The Maker of Gold Shoes,' and prospered so greatly, that as long as one could be bought from him not a shoe was purchased from the shoemakers of the town."
the-escape-of-the-mouse,"And the craftsmen were wroth, and banded together to slay them."
the-escape-of-the-mouse,"' Pryderi,' said Manawyddan, when he had received news of it, 'we will not remain in England any longer. Let us set forth to Dyved.'"
the-escape-of-the-mouse,So they journeyed until they came to their lands at Narberth.
the-escape-of-the-mouse,"There they gathered their dogs round them, and hunted for a year as before."
the-escape-of-the-mouse,After that a strange thing happened.
the-escape-of-the-mouse,"One morning Pryderi and Manawyddan rose up to hunt, and loosened their dogs, which ran before them."
the-escape-of-the-mouse,They came to a small bush.
the-escape-of-the-mouse,"At the bush, the dogs shrank away as if frightened."
the-escape-of-the-mouse,"They returned to their masters, their hair brisling on their backs."
the-escape-of-the-mouse,"'We must see what is in that bush,' said Pryderi, and what was in it was a boar, with a skin as white as the snow on the mountains."
the-escape-of-the-mouse,"And he came out, and made a stand as the dogs rushed on him, driven on by the men."
the-escape-of-the-mouse,Long he stood at bay.
the-escape-of-the-mouse,"Then at last he betook himself to flight, and fled to a castle which was newly built, in a place where no building had ever been known."
the-escape-of-the-mouse,"Into the castle he ran, and the dogs after him, and long though their masters looked and listened."
the-escape-of-the-mouse,They neither saw nor heard aught concerning dogs or boar.
the-escape-of-the-mouse,"'I will go into the castle and get tidings of the dogs,' said Pryderi at last."
the-escape-of-the-mouse,"' Truly,' answered Manawyddan, 'thou wouldst do unwisely, for whosoever has cast a spell over this land has set this castle here.'"
the-escape-of-the-mouse,"'I cannot give up my dogs,' replied Pryderi, and to the castle he went."
the-escape-of-the-mouse,"But within was neither man nor beast; neither boar nor dogs, but only a fountain with marble round it, and on the edge a golden bowl, richly wrought, which pleased Pryderi greatly."
the-escape-of-the-mouse,"In a moment he forgot about his dogs, and went up to the bowl and took hold of it."
the-escape-of-the-mouse,"His hands stuck to the bowl, and his feet to the marble slab, and despair took possession of him."
the-escape-of-the-mouse,Till the close of day Manawyddan waited for him.
the-escape-of-the-mouse,"When the sun was fast sinking, he went home, thinking that he had strayed far."
the-escape-of-the-mouse,"'Where are thy friend and thy dogs?' said Rhiannon, and he told her what had befallen Pryderi. ' A good friend hast thou lost,' answered Rhiannon, and she went up to the castle and through the gate, which was open."
the-escape-of-the-mouse,"There, in the centre of the courtyard, she beheld Pryderi standing, and hastened towards him."
the-escape-of-the-mouse,'What dost thou here?'
the-escape-of-the-mouse,"she asked, laying her hand on the bowl."
the-escape-of-the-mouse,"As she spoke she too stuck fast, and was not able to utter a word."
the-escape-of-the-mouse,Then thunder was heard and a veil of darkness descended upon them.
the-escape-of-the-mouse,The castle vanished and they with it.
the-escape-of-the-mouse,"When Kieva, the wife of Pryderi, found that neither her husband nor his mother returned to her, she was in such sorrow that she cared not whether she lived or died."
the-escape-of-the-mouse,"Manawyddan was grieved also in his heart, and said to her: 'It is not fitting that we should stay here. He have lost our dogs and cannot get food. Let us go into England--it is easier for us to live there.'"
the-escape-of-the-mouse,So they set forth.
the-escape-of-the-mouse,'What craft wilt thou follow?' asked Kieva as they went along.
the-escape-of-the-mouse,"'I shall make shoes as once I did,' replied he."
the-escape-of-the-mouse,"He got all the finest leather in the town and caused gilded clasps to be made for the shoes, till everyone flocked to buy."
the-escape-of-the-mouse,All the shoemakers in the town were idle and banded together in anger to kill him.
the-escape-of-the-mouse,But luckily Manawyddan got word of it.
the-escape-of-the-mouse,He and Kieva left the town one night and proceeded to Narberth.
the-escape-of-the-mouse,"He took with him a sheaf of wheat, which he sowed in three plots of ground."
the-escape-of-the-mouse,"And while the wheat was growing up, he hunted and fished."
the-escape-of-the-mouse,They had food enough and to spare.
the-escape-of-the-mouse,Thus the months passed until the harvest.
the-escape-of-the-mouse,One evening Manawyddan visited the furthest of his fields of wheat; and saw that it was ripe.
the-escape-of-the-mouse,"'To-morrow I will reap this,' said he."
the-escape-of-the-mouse,On the morrow when he went to reap the wheat he found nothing but the bare straw.
the-escape-of-the-mouse,Filled with dismay he hastened to the second field.
the-escape-of-the-mouse,There the corn was ripe and golden.
the-escape-of-the-mouse,"'To-morrow I will reap this,' he said."
the-escape-of-the-mouse,"On the morrow the ears had gone, and there was nothing but the bare straw. ' Well, there is still one field left,' he said, and when he looked at it, it was still fairer than the other two."
the-escape-of-the-mouse,"'To-night I will watch here,' thought he. ' Whosoever carried off the other corn will in like manner take this. I will know who it is.'"
the-escape-of-the-mouse,So he hid himself and waited.
the-escape-of-the-mouse,"The hours slid by, and all was still, so still that Manawyddan well-nigh dropped asleep."
the-escape-of-the-mouse,"But at midnight there arose the loudest tumult in the world, and peeping out he beheld a mighty host of mice, which could neither be numbered nor measured."
the-escape-of-the-mouse,Each mouse climbed up a straw till it bent down with its weight.
the-escape-of-the-mouse,"Then it bit off one of the ears, and carried it away."
the-escape-of-the-mouse,There was not one of the straws that had not got a mouse to it.
the-escape-of-the-mouse,Full of wrath he rushed at the mice.
the-escape-of-the-mouse,"He could no more come up with them than if they had been gnats, or birds of the air, save one only which lingered behind the rest, and this mouse Manawyddan came up with."
the-escape-of-the-mouse,"Stooping down he seized it by the tail, and put it in his glove, and tied a piece of string across the opening of the glove, so that the mouse could not escape."
the-escape-of-the-mouse,"When he entered the hall where Kieva was sitting, he lighted a fire, and hung the glove up on a peg."
the-escape-of-the-mouse,'What hast thou there?' asked she.
the-escape-of-the-mouse,"'A thief,' he answered, 'that I caught robbing me.'"
the-escape-of-the-mouse,'What kind of a thief may it be which thou couldst put in thy glove?' said Kieva.
the-escape-of-the-mouse,"'That I will tell thee,' he replied."
the-escape-of-the-mouse,"Then he showed her how his fields of corn had been wasted, and how he had watched for the mice. ' And one was less nimble than the rest, and is now in my glove. To-morrow I will hang it, and I only wish I had them all.'"
the-escape-of-the-mouse,"'It is a marvel, truly,' said she, 'yet it would be unseemly for a man of thy dignity to hang a reptile such as this. Do not meddle with it, but let it go.'"
the-escape-of-the-mouse,"'Woe betide me,' he cried, 'if I would not hang them all if I could catch them, and such as I have I will hang.'"
the-escape-of-the-mouse,"'Verily,' said she, 'there is no reason I should succour this reptile, except to prevent discredit unto thee.'"
the-escape-of-the-mouse,"'If I knew any cause that I should succour it, I would take thy counsel,' answered Manawyddan, 'but I know of none. I am minded to destroy it.' 'Do so then,' said Kieva."
the-escape-of-the-mouse,So he went up a hill and set up two forks on the top.
the-escape-of-the-mouse,"While he was doing this he saw a scholar coming towards him, whose clothes were tattered."
the-escape-of-the-mouse,"Now it was seven years since Manawyddan had seen man or beast in that place, and the sight amazed him."
the-escape-of-the-mouse,"'Good day to thee, my lord,' said the scholar."
the-escape-of-the-mouse,"'Good greeting to thee, scholar. Whence dost thou come?'"
the-escape-of-the-mouse,'From singing in England; but wherefore dost thou ask?' 'Because for seven years no man hath visited this place.'
the-escape-of-the-mouse,"'I wander where I will,' answered the scholar."
the-escape-of-the-mouse,' And what work art thou upon?'
the-escape-of-the-mouse,'I am about to hang a thief that I caught robbing me!'
the-escape-of-the-mouse,'What manner of thief is that?' inquired the scholar.
the-escape-of-the-mouse,"'I see a creature in thy hand like upon a mouse, and ill does it become a man of thy rank to touch a reptile like this. Let it go free.'"
the-escape-of-the-mouse,"'I will not let it go free,' cried Manawyddan."
