document_id,text
the-mother,A mother sat there with her little child.
the-mother,"She was so downcast, so afraid that it should die!"
the-mother,"It was so pale, the small eyes had closed themselves, and it drew its breath so softly, now and then, with a deep respiration, as if it sighed."
the-mother,The mother looked still more sorrowfully on the little creature.
the-mother,"Then a knocking was heard at the door, and in came a poor old man wrapped up as in a large horse-cloth, for it warms one."
the-mother,"He needed it, as it was the cold winter season!"
the-mother,"Everything out-of-doors was covered with ice and snow, and the wind blew so that it cut the face."
the-mother,"As the old man trembled with cold, and the little child slept a moment, the mother went and poured some ale into a pot and set it on the stove, that it might be warm for him."
the-mother,"The old man sat and rocked the cradle, and the mother sat down on a chair close by him, and looked at her little sick child that drew its breath so deep, and raised its little hand."
the-mother,"""Do you not think that I shall save him?"" said she."
the-mother,"""Our Lord will not take him from me!"""
the-mother,"And the old man--it was Death himself--he nodded so strangely, it could just as well signify yes as no."
the-mother,"And the mother looked down in her lap, and the tears ran down over her cheeks."
the-mother,Her head became so heavy--she had not closed her eyes for three days and nights.
the-mother,"Now she slept, but only for a minute, when she started up and trembled with cold."
the-mother,"""What is that?"" said she, and looked on all sides."
the-mother,"But the old man was gone, and her little child was gone--he had taken it with him."
the-mother,"The old clock in the corner burred, and burred, the great leaden weight ran down to the floor, bump!"
the-mother,and then the clock also stood still.
the-mother,But the poor mother ran out of the house and cried aloud for her child.
the-mother,"Out there, in the midst of the snow, there sat a woman in long, black clothes."
the-mother,"She said, ""Death has been in thy chamber, and I saw him hasten away with thy little child. He goes faster than the wind, and he never brings back what he takes!"""
the-mother,"""Oh, only tell me which way he went!"""
the-mother,said the mother.
the-mother,"""Tell me the way, and I shall find him!"""
the-mother,"""I know it!"" said the woman in the black clothes."
the-mother,"""But before I tell it, thou must first sing for me all the songs thou hast sung for thy child! I am fond of them. I have heard them before. I am Night. I saw thy tears whilst thou sang'st them!"""
the-mother,"""I will sing them all, all!"" said the mother."
the-mother,"""But do not stop me now--I may overtake him--I may find my child!"""
the-mother,But Night stood still and mute.
the-mother,"Then the mother wrung her hands, sang and wept, and there were many songs, but yet many more tears."
the-mother,"Then Night said, ""Go to the right, into the dark pine forest. Go to where I saw Death take his way with thy little child!"""
the-mother,"The roads crossed each other in the depths of the forest, and she no longer knew whither she should go!"
the-mother,then there stood a thorn-bush.
the-mother,"There was neither leaf nor flower on it, it was also in the cold winter season, and ice-flakes hung on the branches."
the-mother,"""Hast thou not seen Death go past with my little child?"" said the mother."
the-mother,"""Yes,"" said the thorn-bush."
the-mother,"""But I will not tell thee which way he took, unless thou wilt first warm me up at thy heart. I am freezing to death. I shall become a lump of ice!"""
the-mother,"And she pressed the thorn-bush to her breast, so firmly, that it might be thoroughly warmed."
the-mother,"The thorns went right into her flesh, and her blood flowed in large drops, but the thornbush shot forth fresh green leaves, and there came flowers on it in the cold winter night, the heart of the afflicted mother was so warm."
the-mother,The thorn-bush told her the way she should go.
the-mother,"She then came to a large lake, where there was neither ship nor boat."
the-mother,The lake was not frozen sufficiently to bear her.
the-mother,"Neither was it open, nor low enough that she could wade through it."
the-mother,Across it she must go if she would find her child!
the-mother,"Then she lay down to drink up the lake, and that was an impossibility for a human being, but the afflicted mother thought that a miracle might happen nevertheless."
the-mother,"""Oh, what would I not give to come to my child!"" said the weeping mother."
the-mother,"She wept still more, and her eyes sunk down in the depths of the waters, and became two precious pearls."
the-mother,"But the water bore her up, as if she sat in a swing, and she flew in the rocking waves to the shore on the opposite side."
the-mother,"There stood a mile-broad, strange house, one knew not if it were a mountain with forests and caverns, or if it were built up."
the-mother,But the poor mother could not see it.
the-mother,She had wept her eyes out.
the-mother,"""Where shall I find Death, who took away my little child?"" said she."
the-mother,"""He has not come here yet!"" said the old grave woman, who was appointed to look after Death's great greenhouse!"
the-mother,"""How have you been able to find the way hither? And who has helped you?"""
the-mother,"""OUR LORD has helped me,"" said she."
the-mother,"""He is merciful, and you will also be so! Where shall I find my little child?"""
the-mother,"""Nay, I know not,"" said the woman, ""and you cannot see! Many flowers and trees have withered this night. Death will soon come and plant them over again! You certainly know that every person has his or her life's tree or flower, just as everyone happens to be settled. They look like other plants, but they have pulsations of the heart. Children's hearts can also beat. Go after yours, perhaps you may know your child's. But what will you give me if I tell you what you shall do more?"""
the-mother,"""I have nothing to give,"" said the afflicted mother, ""but I will go to the world's end for you!"""
the-mother,"""Nay, I have nothing to do there!"""
the-mother,said the woman.
the-mother,"""But you can give me your long black hair. You know yourself that it is fine, and that I like! You shall have my white hair instead, and that's always something!"""
the-mother,"""Do you demand nothing else?"" said she."
the-mother,"""That I will gladly give you!"""
the-mother,"And she gave her her fine black hair, and got the old woman's snow-white hair instead."
the-mother,"So they went into Death's great greenhouse, where flowers and trees grew strangely into one another."
the-mother,"There stood fine hyacinths under glass bells, and there stood strong-stemmed peonies; there grew water plants, some so fresh, others half sick, the water-snakes lay down on them, and black crabs pinched their stalks."
the-mother,"There stood beautiful palm-trees, oaks, and plantains."
the-mother,There stood parsley and flowering thyme: every tree and every flower had its name.
the-mother,"Each of them was a human life, the human frame still lived--one in China, and another in Greenland--round about in the world."
the-mother,"There were large trees in small pots, so that they stood so stunted in growth, and ready to burst the pots."
the-mother,"In other places, there was a little dull flower in rich mould, with moss round about it, and it was so petted and nursed."
the-mother,"But the distressed mother bent down over all the smallest plants, and heard within them how the human heart beat."
the-mother,Amongst millions she knew her child's.
the-mother,"""There it is!"" cried she, and stretched her hands out over a little blue crocus, that hung quite sickly on one side."
the-mother,"""Don't touch the flower!"" said the old woman."
the-mother,"""But place yourself here, and when Death comes--I expect him every moment--do not let him pluck the flower up, but threaten him that you will do the same with the others. Then he will be afraid! He is responsible for them to OUR LORD, and no one dares to pluck them up before HE gives leave."""
the-mother,"All at once an icy cold rushed through the great hall, and the blind mother could feel that it was Death that came."
the-mother,"""How hast thou been able to find thy way hither?"" he asked."
the-mother,"""How couldst thou come quicker than I?"""
the-mother,"""I am a mother,"" said she."
the-mother,"And Death stretched out his long hand towards the fine little flower, but she held her hands fast around his, so tight, and yet afraid that she should touch one of the leaves."
the-mother,"Then Death blew on her hands, and she felt that it was colder than the cold wind, and her hands fell down powerless."
