question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,"Whose delight was it to play tricks on everybody, and particularly on the shepherds and the cowboys?",explicit,a mischievous kind of spirit,,,,,,
2,local,1,causal relationship,,Why didn't everyone know when they were safe from the mischievous kind of spirit?,explicit,"He could change himself into a man, woman or child, a stick, a goat, a ploughshare.",,,,,,
3,local,1,action,,What couldn't the spirit change into?,explicit,a needle,,,,,,
4,local,1,character,,What was the sprite's name?,explicit,Puck,,,,,,
5,local,1,action,,What did the sprite do in the cowsheds?,explicit,"unfastened the chains that fixed each beast in its own stall, and let them fall with a heavy clang to the ground",,,,,,
6,local,2,action,,What did William notice as he was passing by?,explicit,a sheep who was bleating loudly,,,,,,
7,local,2,causal relationship,,Why did William decide to take the sheep home with him?,explicit,William thought it must have strayed from the flock.,,,,,,
8,local,2,feeling,,How did William feel after he heard a voice?,implicit,startled,surprised,astonished,,,,
9,local,2,action,,What did William do after he talked to the voice?,explicit,ran towards home as fast as his legs would carry him,,,,,,
10,local,2,causal relationship,,What made William jump?,explicit,A voice spoke out from over his head.,,,,,,
11,local,3,action,,What did Puck change himself into?,explicit,a fly,,,,,,
12,local,3,causal relationship,,Why did Puck decide to play a trick on a couple?,explicit,He grew tired of cowboys and shepherds.,,,,,,
13,local,3,action,,What did the bride forget to buy?,explicit,the different coloured reels of cotton,,,,,,
14,local,3,feeling,,How did the bride feel after she forgot to buy her cotton?,implicit,upset,frustrated,,,,,
15,local,3,causal relationship,,Why did the bride need reels of cotton?,explicit,The dressmaker was coming in to-morrow.,,,,,,
16,local,4,causal relationship,,Why was there a large ball of thread on the side of the road?,implicit,Puck wanted to play another trick.,Puck was tricking the couple.,,,,,
17,local,4,character,,Who turned themselves into a large ball of thread?,implicit,Puck,naughty sprite,,,,,
18,local,4,feeling,,How did the couple feel after they found thread on the side of the road?,implicit,happy,delighted,relieved,,,,
19,local,4,causal relationship,,Why was the dressmaker delighted with the thread?,explicit,"It matched the stuffs so perfectly, and never tied itself in knots, or broke perpetually, as most thread did.",,,,,,
20,local,4,causal relationship,,Why was there a great crowd assembled to witness the ceremony?,explicit,"The young people were immense favourites in the neighbourhood, and their parents were very rich.",,,,,,
21,local,5,feeling,,How did the wedding guests feel after they saw the dress?,implicit,amazed,astonished,surprised,,,,
22,local,5,outcome resolution,,What happened after the bride entered the church and a loud noise was heard?,explicit,"The wedding garments fell to the ground, to the great confusion of the wearer.",,,,,,
23,local,5,causal relationship,,Why did one of the guests stay behind?,explicit,"to examine the dress, determined, if she could, to find out the cause of the disaster",,,,,,
24,local,5,causal relationship,,Why was the bride so upset?,implicit,Her dress fell apart.,Her dress was ruined.,,,,,
25,local,5,outcome resolution,,What happened after the guest tried to examine the dress?,explicit,The thread had vanished.,,,,,,
