section,text
1,"It so happened that Finn and his gigantic relatives were all working at
the Giant's Causeway in order to make a bridge, or, what was still
better, a good stout pad-road across to Scotland. Finn, who was
very fond of his wife, Oonagh, took it into his head that he would go
home and see how the poor woman got on in his absence. So accordingly he
pulled up a fir-tree, and after lopping off the roots and branches, made
a walking-stick of it and set out on his way to Oonagh.

Finn lived at this time on Knockmany Hill, which faces Cullamore, that
rises up, half hill, half mountain, on the opposite side.

The truth is that honest Finn's affection for his wife was by no manner
of means the whole cause of his journey home. There was at that time
another giant, named Far Rua--some say he was Irish and some say he was
Scotch--but whether Scotch or Irish, sorrow doubt of it but he was a
targer. No other giant of the day could stand before him. Such
was his strength that, when well vexed, he could give a stamp that shook
the country about him. The fame and name of him went far and near, and
nothing in the shape of a man, it was said, had any chance with him in a
fight. Whether the story is true or not I cannot say, but the report
went that by one blow of his fist he flattened a thunderbolt, and kept
it in his pocket in the shape of a pancake to show to all his enemies
when they were about to fight him."
2,"Undoubtedly he had given every giant
in Ireland a considerable beating, barring Finn M'Coul himself. He
swore that he would never rest night or day, winter or summer, till he
could serve Finn with the same sauce, if he could catch him. Finn,
however, had a strong disinclination to meet a giant who could make a
young earthquake or flatten a thunderbolt when he was angry. Accordingly he kept dodging about from place to place--not much to his
credit as a Trojan, to be sure--whenever he happened to get the hard
word that Far Rua was on the scent of him. And the long and the short of
it was that he heard Far Rua was coming to the Causeway to have a trial
of strength with him. He was, naturally enough, seized in
consequence with a very warm and sudden fit of affection for his wife,
who was delicate in her health, poor woman. She was leading, besides, a very
lonely, uncomfortable life of it in his absence.

""God save all here,"" said Finn good-humouredly, putting his honest face
into his own door.

""Musha, Finn, avick, an' you're welcome to your own Oonagh, you darlin'
bully."" Here followed a smack that it is said to have made the waters of
the lake curl, as it were, with kindness and sympathy."
3,"""Faith,"" said Finn, ""beautiful; and how are you, Oonagh--and how did
you sport your figure during my absence, my bilberry?""

""Never a merrier--as bouncing a grass widow as ever there was in sweet
'Tyrone among the bushes.'""

Finn gave a short, good-humoured cough. He laughed most heartily to
show her how much he was delighted that she made herself happy in his
absence.

""An' what brought you home so soon, Finn?"" said she.

""Why, avourneen,"" said Finn, putting in his answer in the proper way,
""never the thing but the purest of love and affection for yourself.
Sure, you know that's truth, anyhow, Oonagh.""

Finn spent two or three happy days with Oonagh, and felt himself very
comfortable considering the dread he had of Far Rua. This, however, grew
upon him so much that his wife could not but perceive something lay on
his mind which he kept altogether to himself. Let a woman alone in the
meantime for ferreting or wheedling a secret out of her good man when
she wishes. Finn was a proof of this.

""It's this Far Rua,"" said he, ""that's troublin' me. When the fellow gets
angry and begins to stamp he'll shake you a whole townland. It's
well known that he can stop a thunderbolt, for he always carries one
about with him in the shape of a pancake to show to anyone that might
misdoubt it.""

As he spoke he clapped his thumb in his mouth, as he always did when he
wanted to prophesy or to know anything.

""He's coming,"" said Finn. ""I see him below at Dungannon.""

""An' who is it, avick?""

""Far Rua,"" replied Finn, ""and how to manage I don't know. If I run away
I am disgraced, and I know that sooner or later I must meet him, for my
thumb tells me so."""
4,"""When will he be here?"" says she.

""To-morrow, about two o'clock,"" replied Finn with a groan.

""Don't be cast down,"" said Oonagh. ""Depend on me, and, maybe, I'll bring
you out of this scrape better than ever you could bring yourself.""

This quieted Finn's heart very much, for he knew that Oonagh was
hand-and-glove with the fairies. Indeed, to tell the truth, she was
supposed to be a fairy herself. If she was, however, she must have been
a kind-hearted one, for by all accounts she never did anything but good
in the neighbourhood.

Now, it so happened that Oonagh had a sister named Granua living
opposite to them, on the very top of Cullamore, which I have mentioned
already. This Granua was quite as powerful as herself. The beautiful
valley that lies between the Granlisses is not more than three or four
miles broad, so that of a summer evening Granua and Oonagh were able to
hold many an agreeable conversation across it, from one hill-top to the
other. Upon this occasion Oonagh resolved to consult her sister as to
what was best to be done in the difficulty that surrounded them.

""Granua,"" said she, ""are you at home?""

""No,"" said the other, ""I'm picking bilberries at Althadhawan"" (the
Devil's Glen).

""Well,"" said Oonagh, ""go up to the top of Cullamore, look about you, and
then tell us what you see.""

""Very well,"" replied Granua, after a few minutes; ""I am there now.""

""What do you see?"" asked the other.

""Goodness be about us!"" exclaimed Granua, ""I see the biggest giant that
ever was known coming up from Dungannon.""

""Ay,"" said Oonagh, ""there's our difficulty. That's Far Rua, and he's
comin' up now to leather Finn. What's to be done?"""
5,"""I'll call to him,"" she replied, ""to come up to Cullamore and refresh
himself, and maybe that will give you and Finn time to think of some
plan to get yourselves out of the scrape. But,"" she proceeded, ""I'm
short of butter, having in the house only half a dozen firkins, and as
I'm to have a few giants and giantesses to spend the evenin' with me I'd
feel thankful, Oonagh, if you'd throw me up fifteen or sixteen tubs, or
the largest miscaun you've got, and you'll oblige me very much.""

""I'll do that with a heart and a half,"" replied Oonagh; ""and, indeed,
Granua, I feel myself under great obligations to you for your kindness
in keeping him off us till we see what can be done; for what would
become of us all if anything happened to Finn, poor man!""

She accordingly got the largest miscaun of butter she had--which might
be about the weight of a couple of dozen millstones, so that you can
easily judge of its size--and calling up her sister, ""Granua,"" says she,
""are you ready? I'm going to throw you up a miscaun, so be prepared to
catch it.""

""I will,"" said the other. ""A good throw, now, and take care it does not
fall short.""

Oonagh threw it, but in consequence of her anxiety about Finn and Far
Rua she forgot to say the charm that was to send it up, so that instead
of reaching Cullamore, as she expected, it fell about half-way between
the two hills at the edge of the Broad Bog, near Augher."
6,"""My curse upon you!"" she exclaimed, ""you've disgraced me. I now change
you into a grey stone. Lie there as a testimony of what has happened,
and may evil betide the first living man that will ever attempt to move
or injure you!""

And, sure enough, there it lies to this day, with the mark of the four
fingers and thumb imprinted on it, exactly as it came out of her hand.

""Never mind,"" said Granua, ""I must only do the best I can with Far Rua.
If all fail, I'll give him a cast of heather broth, or a panada of oak
bark. But, above all things, think of some plan to get Finn out of the
scrape he's in, or he's a lost man. You know you used to be sharp and
ready-witted; and my own opinion is, Oonagh, that it will go hard with
you, or you'll outdo Far Rua yet.""

She then made a high smoke on the top of the hill, after which she put
her finger in her mouth and gave three whistles, and by that Far Rua
knew that he was invited to the top of Cullamore--for this was the way
that the Irish long ago gave a sign to all strangers and travellers to
let them know they are welcome to come and take share of whatever was
going."
7,"In the meantime Finn was very melancholy, and did not know what to do,
or how to act at all. Far Rua was an ugly customer, no doubt, to meet
with; and, moreover, the idea of the confounded ""cake"" aforesaid
flattened the very heart within him. What chance could he have, strong
and brave as he was, with a man who could, when put in a passion, walk
the country into earthquakes and knock thunderbolts into pancakes? The
thing was impossible, and Finn knew not on what hand to turn him. Right
or left, backward or forward, where to go he could form no guess
whatever.

""Oonagh,"" said he, ""can you do anything for me? Where's all your
invention? Am I to be skivered like a rabbit before your eyes and to
have my name disgraced for ever in the sight of all my tribe, and me the
best man among them? How am I to fight this man-mountain--this huge
cross between an earthquake and a thunderbolt--with a pancake in his
pocket that was once----?""

""Be aisy, Finn,"" replied Oonagh. ""Troth, I'm ashamed of you. Keep your
toe in your pump, will you? Talking of pancakes, maybe we'll give him as
good as any he brings with him--thunderbolts or otherwise. If I don't
treat him to as smart feeding as he's got this many a day, don't trust
Oonagh again. Leave him to me, and do just as I bid you."""
8,"This relieved Finn very much, for, after all, he had great confidence in
his wife, knowing, as he did, that she had got him out of many a
quandary before. The present, however, was the greatest of all; but,
still, he began to get courage and to eat his victuals as usual. Oonagh
then drew the nine woollen threads of different colours, which she
always did to find out the best way of succeeding in anything of
importance she went about. She then plaited them into three plaits, with
three colours in each, putting one on her right arm, one round her
heart, and the third round her right ankle, for then she knew that
nothing could fail her that she undertook.

Having everything now prepared, she sent round to the neighbours and
borrowed one-and-twenty iron griddles, which she took and kneaded into
the hearts of one-and-twenty cakes of bread, and these she baked on the
fire in the usual way, setting them aside in the cupboard according as
they were done. She then put down a large pot of new milk, which she
made into curds and whey, and gave Finn due instructions how to use the
curds when Far Rua should come. Having done all this, she sat down quite
contented waiting for his arrival on the next day about two o'clock,
that being the hour at which he was expected--for Finn knew as much by
the sucking of his thumb. Now, this was a curious property that Finn's
thumb had; but notwithstanding all the wisdom and logic he used to suck
out of it, it could never have stood to him here were it not for the wit
of his wife. In this very thing, moreover, he was very much resembled by
his great foe, Far Rua; for it was well known that the huge strength
that he possessed all lay in the middle finger of his right hand, and
that if he happened by any chance to lose it, he was no more,
notwithstanding his bulk, than a common man."
9,"At length the next day he was seen coming across the valley, and Oonagh
knew that it was time to commence operations. She immediately made the
cradle, and desired Finn to lie down in it and cover himself up with the
clothes.

""You must pass for your own child,"" said she, ""so just lie there snug
and say nothing, but be guided by me."" This, to be sure, was wormwood to
Finn--I mean going into the cradle in such a cowardly manner--but he
knew Oonagh very well; and finding that he had nothing else for it, with
a very rueful face he gathered himself into it and lay snug, as she had
desired him.

About two o'clock, as he had been expected, Far Rua came in. ""God save
all here!"" said he. ""Is this where the great Finn M'Coul lives?""

""Indeed it is, honest man,"" replied Oonagh. ""God save you kindly--won't
you be sitting?""

""Thank you, ma'am,"" says he, sitting down. ""You're Mrs. M'Coul, I
suppose?""

""I am,"" says she, ""and I have no reason, I hope, to be ashamed of my
husband.""

""No,"" said the other; ""he has the name of being the strongest and
bravest man in Ireland. But, for all that, there's a man not far from
you that's very anxious of taking a shake with him. Is he at home?""

""Why, no, then,"" she replied; ""and if ever a man left in a fury he did.
It appears that someone told him of a big bosthoon of a giant called Far
Rua being down at the Causeway to look for him, and so he set out there
to try if he could catch him. Troth, I hope, for the poor giant's sake,
he won't meet with him, for if he does Finn will make paste of him at
once.""

""Well,"" said the other, ""I am Far Rua, and I have been seeking him these
twelve minths, but he always kept clear of me; and I will never rest day
or night till I lay my hands on him."""
10,"At this Oonagh set up a loud laugh of great contempt, by the way, and
looked at him as if he were only a mere handful of a man.

""Did you ever see Finn?"" said she, changing her manner all at once.

""How could I?"" said he. ""He always took care to keep his distance.""

""I thought so,"" she replied. ""I judged as much; and if you take my
advice, you poor-looking creature, you'll pray night and day that you
may never see him, for I tell you it will be a black day for you when
you do. But, in the meantime, you perceive that the wind's on the door,
and as Finn himself is far from home, maybe you'd be civil enough to
turn the house, for it's always what Finn does when he's here.""

This was a startler, even to Far Rua; but he got up, however, and after
pulling the middle finger of his right hand until it cracked three
times, he went outside, and getting his arms about the house, completely
turned it as she had wished. When Finn saw this he felt a certain
description of moisture, which shall be nameless, oozing out through
every pore of his skin; but Oonagh, depending upon her woman's wit, felt
not a whit daunted.

""Arrah, then,"" said she, ""as you're so civil, maybe you'd do another
obliging turn for us, as Finn's not here to do it himself. You see,
after this long stretch of dry weather that we've had, we feel very
badly off for want of water. Now, Finn says there's a fine spring well
somewhere under the rocks behind the hill there below, and it was his
intention to pull them asunder; but having heard of you he left the
place in such a fury that he never thought of it. Now, if you try to
find it, troth, I'd feel it a kindness."""
