question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What will a farmer tell you about why the buckwheat looks black and singed?,explicit,The lightning did that,,,,,,
2,local,1,character,,Who knows about Buckwheat?,implicit,farmers,people who work on farms,,,,,
3,local,2,setting,,Where does the willow stand?,explicit,close to the field of buckwheat,,,,,,
4,local,3,causal relationship,,Why are the fuller ears of grain lower to the ground?,implicit,because they're heavier,because of gravity,they're more humble,explicit,stiff-necked pride,,
5,local,3,setting,,What else grew in the fields around the willow?,explicit,"rye, wheat, and oats",,,,,,
6,local,4,action,,What does the narrator ask the willow?,explicit,do you know anything more beautiful than we?,,,,,,
7,local,5,causal relationship,,Why do the flowers fold their leaves?,implicit,there's a storm,they don't want to get rained on,a dreadful storm came,explicit,There came a dreadful storm,,
8,local,5,causal relationship,,Why doesn't the buckwheat bow its head?,implicit,it doesn't need to,it's too proud,,explicit,The buckwheat flower alone stood erect in all its pride.,,
9,local,6,prediction,,Why won't the buckwheat bow down?,implicit,it's too proud,it's very stubborn,it doesn't want to,implicit,It's too prideful,,
10,local,7,action,,What does the willow say to do?,explicit,"Close your flowers, fold your leaves, and don't look at the lightning",,,,,,
11,local,7,causal relationship,,Why shouldn't they look at the lightning?,implicit,it can make you blind,,,explicit,"The sight strikes human beings blind, so dazzling is it.",,
12,local,7,action,,What does the buckwheat do?,implicit,looks at the lightning,the opposite of what the willow said to do,,,,,
13,local,8,outcome resolution,,What happened to the buckwheat?,explicit,it was burned by the lightning,,,,,,
14,local,8,causal relationship,,Why did the willow cry?,implicit,it was sad that the buckwheat died,the buckwheat's choice made it sad,,,,,
15,summary,"5,6,7,8",character,,Why didn't the buckwheat do what it was told?,explicit,it was too proud,,,,,,
