question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What did people's surroundings reflect?,explicit,minds and dispositions,,,,,,
2,local,1,character,,Who lived in a lovely palace?,explicit,the Flower Fairy,,,,,,
3,local,1,causal relationship,,Why did everybody love the Flower Fairy?,explicit,The Fairy herself was so kind and charming.,,,,,,
4,local,1,feeling,,How did the young princes feel being in the Flower Fairy's court?,explicit,happy,,,,,,
5,local,1,causal relationship,,Why were the young princes as happy as the day was long?,explicit,They were near her.,,,,,,
6,local,1,action,,What did the Fairy give the prince when the time came?,explicit,whatever gift he asked of her,,,,,,
7,local,1,character,,Who did the Fairy love with all of her heart?,explicit,Princess Sylvia,,,,,,
8,local,1,causal relationship,,Why did the Fairy love Princess Sylvia?,explicit,Princess Sylvia was at once original and gentle.,,,,,,
9,local,1,action,,What did the Fairy wish to know?,explicit,"how the other princesses who had grown up and left her, were prospering",,,,,,
10,local,1,action,,What was the chariot drawn by?,explicit,butterflies,,,,,,
11,local,1,setting,,Where did the Fairy send Sylvia?,explicit,the court of Iris,,,,,,
12,local,1,action,prediction,What will the Fairy expect from Sylvia in two months?,explicit,tell the Fairy what Sylvia thought of Iris,,,,,,
13,local,1,feeling,,How did the Flower Fairy feel seeing Sylvia again?,explicit,delighted,,,,,,
14,local,2,character,,Who received the gift of beauty?,explicit,Iris,,,,,,
15,local,2,outcome resolution,,What happened while Sylvia was with Iris?,explicit,Iris became seriously ill.,,,,,,
16,local,2,outcome resolution,,What happened after Iris became seriously ill?,explicit,Her beauty was entirely gone.,,,,,,
17,local,2,action,,What did Iris beg from the Fairy?,explicit,give her beauty back to her,,,,,,
18,local,2,feeling,,How did Iris feel losing her beauty?,explicit,unhappy,,,,,,
19,summary,"1,2",causal relationship,,Why did all of the things in Iris become different when Iris lost her beauty?,explicit,It generally happened that people's surroundings reflected more or less accurately their minds and dispositions.,,,,,,
20,local,3,causal relationship,,Why couldn't the Fairy help Iris?,explicit,Her gifts could be given but once.,,,,,,
21,local,3,character,,Who did Sylvia have to stay with for a short while?,explicit,Princess Daphne,,,,,,
22,local,3,outcome resolution,,What happened after Sylvia sent a message to the fairy begging to be sent for?,explicit,Sylvia was allowed to return.,,,,,,
23,local,3,action,,What did Princess Daphne ask for her gift?,explicit,the gift of eloquence,,,,,,
24,local,3,feeling,,How did Sylvia feel to return to the Fairy after visiting Princess Daphne?,explicit,glad,,,,,,
25,local,4,character,,Who did Sylvia stay with for three months?,explicit,Princess Cynthia,,,,,,
26,local,4,feeling,,How did Sylvia feel returning from Princess Cynthia's court?,explicit,joy,content,,,,,
27,local,4,causal relationship,,Why did Sylvia think Princess Cynthia was the happiest princess in the world?,explicit,Princess Cynthia had a thousand lovers who vied with one another in their efforts to please and gratify her.,,,,,,
28,local,4,causal relationship,,Why did Sylvia change her mind about her gift?,explicit,The longer she stayed the more she saw that Cynthia was not really happy.,,,,,,
29,local,4,outcome resolution,,What happened to Princess Cynthia because she wanted to please everyone?,explicit,"She ceased to be sincere, and degenerated into a mere coquette.",,,,,,
30,local,4,outcome resolution,,What happened when the lovers realized Princess Cynthia's love was valueless?,explicit,"They ceased to care for them, and went away disdainfully.",,,,,,
31,local,4,setting,prediction,Where will the Fairy send Sylvia?,explicit,Phyllida,,,,,,
32,local,5,causal relationship,,Why was Sylvia was glad to have leisure to think?,explicit,She could not make up her mind at all what she should ask for herself.,,,,,,
33,local,5,action,,How did Phyllida treat Sylvia?,explicit,with much kindness,,,,,,
34,local,5,causal relationship,,Why did Sylvia end up ceasing to covet the gift of wit?,explicit,"Like the gift of pleasing, it could not really give satisfaction.",,,,,,
