section,text
1,"Once upon a time there was a descendant of Confucius. His father had a
friend, and this friend held an official position in the South and
offered the young man a place as secretary. But when the latter
reached the town where he was to have been active, he found that his
father's friend had already died. Then he was much embarrassed, seeing
that he did not have the means to return home again. So he was glad to
take refuge in the Monastery of Puto, where he copied holy books for
the abbot."
2,"About a hundred paces west of the monastery stood a deserted house.
One day there had been a great snowfall, and as young Kung
accidentally passed by the door of the house, he noticed a well
dressed and prepossessing youth standing there who bowed to him and
begged him to approach. Now young Kung was a scholar, and could
appreciate good manners. Finding that the youth and himself had much
in common, he took a liking to him, and followed him into the house.
It was immaculately clean; silk curtains hung before the doors, and on
the walls were pictures of good old masters. On a table lay a book
entitled: ""Tales of the Coral Ring."" Coral Ring was the name of a
cavern."
3,"Once upon a time there lived a monk at Puto who was exceedingly
learned. An aged man had led him into the cave in question, where he
had seen a number of volumes on the book stands. The aged man had
said: ""These are the histories of the various dynasties."" In a second
room were to be found the histories of all the peoples on earth. A
third was guarded by two dogs. The aged man explained: ""In this room
are kept the secret reports of the immortals, telling the arts by
means of which they gained eternal life. The two dogs are two
dragons."" The monk turned the pages of the books, and found that they
were all works of ancient times, such as he had never seen before. He
would gladly have remained in the cave, but the old man said: ""That
would not do!"" and a boy led him out again. The name of that cave,
however, was the Coral Ring, and it was described in the volume which
lay on the table."
4,"The youth questioned Kung regarding his name and family, and the
latter told him his whole history. The youth pitied him greatly and
advised him to open a school.

Kung answered with a sigh: ""I am quite unknown in the neighborhood,
and have no one to recommend me!""

Said the youth: ""If you do not consider me altogether too unworthy and
stupid, I should like to be your pupil myself."""
5,"Young Kung was overjoyed. ""I should not dare to attempt to teach you,""
he replied, ""but together we might dedicate ourselves to the study of
science."" He then asked why the house had been standing empty for so
long.

The youth answered: ""The owner of the house has gone to the country.
We come from Shensi, and have taken the house for a short time. We
only moved in a few days ago.""

They chatted and joked together gaily, and the young man invited Kung
to remain overnight, ordering a small boy to light a pan of charcoal."
6,"Then he stepped rapidly into the rear room and soon returned saying:
""My father has come.""

As Kung rose an aged man with a long, white beard and eyebrows stepped
into the room and said, greeting him: ""You have already declared your
willingness to instruct my son, and I am grateful for your kindness.
But you must be strict with him and not treat him as a friend."""
7,"Then he had garments of silk, a fur cap, and shoes and socks of fur
brought in, and begged Kung to change his clothes. Wine and food were
then served. The cushions and covers of the tables and chairs were
made of stuffs unknown to Kung, and their shimmering radiance blinded
the eye. The aged man retired after a few beakers of wine, and then
the youth showed Kung his essays. They were all written in the style
of the old masters and not in the new-fangled eight-section form."
8,"When he was asked about this, the youth said with a smile: ""I am quite
indifferent to winning success at the state examinations!"" Then he
turned to the small boy and said: ""See whether the old gentleman has
already fallen asleep. If he has, you may quietly bring in little
Hiang-Nu."""
9,"The boy went off, and the youth took a lute from an embroidered case.
At once a serving-maid entered, dressed in red, and surpassingly
beautiful. The youth bade her sing ""The Lament of the Beloved,"" and
her melting tones moved the heart. The third watch of the night had
passed before they retired to sleep."
10,"On the following morning all rose early and study began. The youth was
exceptionally gifted. Whatever he had seen but once was graven in his
memory. Hence he made surprising progress in the course of a few
months. The old custom was followed of writing an essay every five
days, and celebrating its completion with a little banquet. And at
each banquet Hiang-Nu was sent for."
