section,text
1,"HANS had served his master seven years. At the end of the seventh year he said, 
""Master, my time is up. I want to go home and see my mother, so give me my wages."" 
""You have served me truly and faithfully,"" said the master. ""As the service is, so must the wages be,"" and he gave him a lump of gold as big as his head. Hans pulled his handkerchief out of his pocket and tied up the lump of gold in it, hoisted it on his shoulder, and set off on his way home. And as he was trudging along, there came in sight a man riding on a spirited horse, and looking very gay and lively. ""Oh!"" cried Hans aloud, ""how splendid riding must be! Sitting as much at one's ease as in an arm-chair, stumbling over no stones, saving one's shoes, and getting on one hardly knows how!"" 
The horseman heard Hans say this, and called out to him, 
""Well Hans, what are you doing on foot?"""
2,"""I can't help myself,"" said Hans, ""I have this great lump to carry. To be sure, it is gold, but then I can't hold my head straight for it, and it hurts my shoulder."" 
""I'll tell you what,"" said the horseman, ""we will change. I will give you my horse, and you shall give me your lump of gold."" 
""With all my heart,"" said Hans. ""But I warn you, you will find it heavy."" And the horseman got down and took the gold. Helping Hans up, he gave the reins into his hand. 
""When you want to go fast,"" said he, ""you must click your tongue and cry 'Gee-up!'"""
3,"And Hans, as he sat upon his horse, was glad at heart, and rode off with merry cheer. After a while he thought he should like to go quicker, so he began to click with his tongue and to cry ""Gee-up!"" And the horse began to trot, and Hans was thrown before he knew what was going to happen. There he lay in the ditch by the side of the road. The horse would have got away but that he was caught by a peasant who was passing that way and driving a cow before him. And Hans pulled himself together and got upon his feet, feeling very vexed. ""Poor work, riding,"" said he. ""Especially on a jade like this, who starts off and throws you before you know where you are, going near to break your neck. Never shall I try that game again. Now, your cow is something worth having. One can jog on comfortably after her and have her milk, butter, and cheese every day, into the bargain. What would I not give to have such a cow!"""
4,"""Well now,"" said the peasant, ""since it will be doing you such a favour, I don't mind exchanging my cow for your horse."" 
Hans agreed most joyfully, and the peasant, swinging himself into the saddle, was soon out of sight. 
And Hans went along driving his cow quietly before him, and thinking all the while of the fine bargain he had made. 
""With only a piece of bread I shall have everything I can possibly want, for I shall always be able to have butter and cheese to it. If I am thirsty I have nothing to do but to milk my cow. What more is there for heart to wish!"""
5,"And when he came to an inn he made a halt, and in the joy of his heart ate up all the food he had brought with him, dinner and supper and all. He bought half a glass of beer with his last two farthings. Then on he went again driving his cow, until he should come to the village where his mother lived. It was now near the middle of the day, and the sun grew hotter and hotter. Hans found himself on a heath which it would be an hour's journey to cross. And he began to feel very hot, and so thirsty that his tongue clove to the roof of his mouth."
6,"""Never mind,"" said Hans. ""I can find a remedy. I will milk my cow at once."" And tying her to a dry tree, and taking off his leather cap to serve for a pail, he began to milk, but not a drop came. And as he set to work rather awkwardly, the impatient beast gave him such a kick on the head with his hind foot that he fell to the ground. For some time could not think where he was. When luckily there came by a butcher who was wheeling along a young pig in a wheelbarrow. 
""Here's a fine piece of work!"" cried he, helping poor Hans on his legs again. Then Hans related to him all that had happened. The butcher handed him his pocket-flask, saying, 
""Here, take a drink, and be a man again. Of course the cow would give no milk. She is old and only fit to draw burdens, or to be slaughtered."""
7,"""Well, to be sure,"" said Hans, scratching his head. ""Who would have thought it? of course it is a very handy way of getting meat when a man has a beast of his own to kill. For my part I do not care much about cow beef, it is rather tasteless. Now, if I had but a young pig, that is much better meat, and then the sausages!"" 
""Look here, Hans,"" said the butcher, ""just for love of you I will exchange, and will give you my pig instead of your cow."" 
""Heaven reward such kindness!"" cried Hans. Handing over the cow, he received in exchange the pig, who was turned out of his wheelbarrow and was to be led by a string. 
So on went Hans, thinking how everything turned out according to his wishes, and how, if trouble overtook him, all was sure to be set right directly. After a while he fell in with a peasant, who was carrying a fine white goose under his arm. They bid each other good-day, and Hans began to tell about his luck, and how he had made so many good exchanges. And the peasant told how he was taking the goose to a christening feast."
8,"""Just feel how heavy it is,"" said he, taking it up by the wings. ""It has been fattening for the last eight weeks. When it is roasted, won't the fat run down!"" 
""Yes, indeed,"" said Hans, weighing it in his hand, ""very fine to be sure; but my pig is not to be despised."" 
Upon which the peasant glanced cautiously on all sides, and shook his head. 
""I am afraid,"" said he, ""that there is something not quite right about your pig. In the village I have just left one had actually been stolen from the bailiff's yard. I fear, I fear you have it in your hand. They have sent after the thief, and it would be a bad look-out for you if it was found upon you. The least that could happen would be to be thrown into a dark hole."" 
Poor Hans grew pale with fright. ""For heaven's sake,"" said he, ""help me out of this scrape, I am a stranger in these parts. Take my pig and give me your goose."""
9,"""It will be running some risk,"" answered the man, ""but I will do it sooner than that you should come to grief."" And so, taking the cord in his hand, he drove the pig quickly along a by-path. Lucky Hans went on his way home with the goose under his arm. ""The more I think of it,"" said he to himself, ""the better the bargain seems. First I get the roast goose, then the fat, that will last a whole year for bread and dripping. Lastly the beautiful white feathers which I can stuff my pillow with. How comfortably I shall sleep upon it, and how pleased my mother will be!"" 
And when he reached the last village, he saw a knife-grinder with his barrow. His wheel went whirring round, and he sang, 
    ""My scissors I grind, and my wheel I turn.     And all good fellows my trade should learn,     For all that I meet with just serves my turn."" 
And Hans stood and looked at him. At last he spoke to him and said, 
""You seem very well off, and merry with your grinding."""
10,"""Yes,"" answered the knife-grinder, ""my handiwork pays very well. I call a man a good grinder who, every time he puts his hand in his pocket finds money there. But where did you buy that fine goose?"" 
""I did not buy it, but I exchanged it for my pig,"" said Hans. 
""And the pig?"" 
""That I exchanged for a cow."" 
""And the cow?"" 
""That I exchanged for a horse."" 
""And the horse?"" 
""I gave for the horse a lump of gold as big as my head."" 
""And the gold?"" 
""Oh, that was my wage for seven years' service."" 
""You seem to have fended for yourself very well,"" said the knife-grinder. ""Now, if you could but manage to have money in your pocket every time you put your hand in, your fortune is made."" 
""How shall I manage that?"" said Hans."
