question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who owned the Churches in the early days?,explicit,King O'Toole,,,,,,
2,local,1,character,,Who was the church built after?,explicit,St. Kavin,,,,,,
3,local,1,setting,,Where did the king go to catch the deer?,explicit,over the mountains,,,,,,
4,local,2,causal relationship,,Why did the king grow old?,explicit,"He was stiff in his limbs, and when he got stricken in years, his heart failed him, and he was lost entirely.",,,,,,
5,local,2,action,,What did the goose swim across the lake for?,explicit,diving for trout and cod fish on a Friday for the King,,,,,,
6,local,2,character,,Who was the greatest pet?,explicit,the goose,,,,,,
7,local,2,causal relationship,,Why was the goose the greatest pet?,explicit,It diverted the King to no end.,The poor King was as happy as the day was long.,,,,,
8,local,2,action,,How did the king feel when the goose grew old and stiff?,explicit,broken-hearted,melancholy,,,,,
9,local,2,character,,Who did the king meet around the corner?,explicit,a mighty decent young man,,,,,,
10,summary,"2,3",character,,What was the young man's name?,explicit,Saint Kavin,,,,,,
11,local,3,causal relationship,,Why was the king surprised Saint Kavin knew about the goose?,explicit,The king and the goose were private friends.,,,,,,
12,local,3,character,,Who did the king suspect told Saint Kavin about the goose?,explicit,the fairies,,,,,,
13,local,3,causal relationship,,Why did Saint Kavin say it wasn't the fairies that told him about the goose?,explicit,He didn't keep the likes of such company.,,,,,,
14,local,3,action,character,What did Saint Kavin describe himself as?,explicit,an honest man,,,,,,
15,local,4,action,,How did Saint Kavin make money?,explicit,by making old things as good as new,,,,,,
16,local,4,action,,What did Saint Kavin say he could do for the king?,explicit,make the king's old goose as good as new.,,,,,,
17,local,4,causal relationship,,Why couldn't Saint Kavin take money?,explicit,He had a vow against it.,He was book sworn.,,,,,
18,local,4,action,,What did Saint Kavin say he could take instead of money?,explicit,a few acres of land,,,,,,
19,local,4,action,outcome resolution,What did Saint Kavin tell the king to do after the king agreed to his proposal?,explicit,call down the king's goose here,,,,,,
20,local,5,outcome resolution,,What happened after the king whistled?,explicit,down came the poor goose,,,,,,
21,local,5,action,,What did the king offer if Saint Kavin could repair the goose?,explicit,The king would give him whatever he asked.,,,,,,
22,local,5,action,,What did Saint Kavin ask from the king?,explicit,all the ground the goose flew over after Saint Kavin made her as good as new,,,,,,
23,local,6,causal relationship,,Why did Saint Kavin throw the goose in the air?,explicit,to help her,,,,,,
24,local,6,character,,Who made the cliff in the mountain?,explicit,Finn Ma Cool,,,,,,
25,local,6,outcome resolution,,What happened after Finn Ma Cool tried the sword first in the mountain?,explicit,He cut it down into a gap.,,,,,,
26,local,7,outcome resolution,action,What did the goose do after fluttering over the wood a bit?,explicit,"The goose flew down, and bit at the foot of the King.",,,,,,
27,local,8,outcome resolution,problem,What will happen if the king does not say that word?,explicit,The devil will receive the bit of his goose and never fly again.,,,,,,
28,local,8,setting,,Where did the goose fly around?,explicit,every individual acre o' King O'Toole's property,,,,,,
29,local,8,causal relationship,,Why were the king and Saint Kavin best friends?,explicit,The poor old King was doting.,The King had his goose as good as new to divert him as long as he lived.,The saint supported the king after he came into his property.,,,,
30,local,8,action,,What did the goose catch by mistake?,explicit,a thieving horse-eel,,,,,,
31,local,8,action,,What did the horse-eel do to the goose?,explicit,killed the King's goose,,,,,,
32,local,2,causal relationship,,Why was the king broken-hearted and melancholy?,implicit,The goose could not divert him any longer.,The king was old and stiff in the limbs.,The king couldn't go hunting anymore.,,,,
33,local,3,feeling,prediction,How will the king feel about Saint Kavin knowing about the goose?,implicit,suspicious,concerned,confused,,,,
34,local,4,causal relationship,,Why did the king think Saint Kavin was lying about making the goose as good as new?,implicit,It was not possible to reverse old age.,The goose was so old.,The saint was not a tinker by trade.,,,,
35,local,4,feeling,prediction,How will the king feel if Saint Kavin can make his goose as good as new?,implicit,happy,shocked,surprised,,,,
36,summary,"4,5",causal relationship,,Why did the king bet so much on Saint Kavin making his goose as good as new?,implicit,He loved his goose.,He thought Saint Kavin couldn't do it.,He wanted to be ridiculous in his proposal like Saint Kavin.,,,,
37,summary,"6,7",action,prediction,What will the king do after seeing the goose fly?,implicit,be happy,give Saint Kavin what he asked for,,,,,
38,local,8,outcome resolution,,What happened after the king said he would keep his word?,implicit,Saint Kavin became king.,The land belonged to Saint Kavin.,The devil did not receive the land the goose flew over.,,,,
39,local,8,causal relationship,,Why didn't the king eat the goose?,implicit,He loved the goose.,Saint Kavin blessed the goose.,He felt guilty for the goose's death.,,,,
40,local,8,feeling,prediction,How will the king feel about the goose being dead?,implicit,sad,unhappy,lonely,,,,
