question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,outcome resolution,,What happened after Morraha rose in the morning?,explicit,"He washed rose in the morning, and washed his hands and face, and said his prayers, and ate his food; and he asked God to prosper the day for him. He went down to the brink of the sea, and he saw a currach, short and green, coming towards him. In it there was but one youthful champion, and he playing hurly from prow to stern of the currach.",,,,,,
2,local,1,character,,Who was playing hurly from prow to stern of the currach?,explicit,one youthful champion,,,,,,
3,local,1,action,,What did Morraha see coming towards him?,explicit,"a currach, short and green",,,,,,
4,local,1,outcome resolution,,What happened after the currach was in on the shore?,explicit,"Morraha drew her up on the green grass, and put fastening on her for a day and a year, whether he should be there all that time, or should only be on land for an hour by the clock.",,,,,,
5,local,1,character,,Who did Morraha salute to?,explicit,the young man,,,,,,
6,local,1,outcome resolution,,What happened after Morraha saluted to the young man?,explicit,"The other saluted him in the same fashion, and asked him would he play a game of cards with him.",,,,,,
7,local,1,action,,What did the young man raw from his pocket?,explicit,a table and two chairs and a pack of cards,,,,,,
8,local,1,character,,Who won the first game?,explicit,Morraha,,,,,,
9,local,1,action,outcome resolution,What did the champion say would happen to the land?,explicit,The land above him should be filled with stock of sheep in the morning.,,,,,,
10,local,1,setting,,Where did Morraha go the next day?,explicit,the brink of the sea,,,,,,
11,local,2,action,,What did the woman ask Morraha on the fourth day?,explicit,how he had found himself,,,,,,
12,local,2,character,,Who won the game on the fourth day?,explicit,the young man,,,,,,
13,local,2,action,,What did the young man bade from Morraha?,explicit,"the art of the Druid not to sleep two nights in one house, nor finish a second meal at the one table, till he brought him the sword of light and news of the death of Anshgayliacht",,,,,,
14,local,3,outcome resolution,,What happened after Morraha gave a groan?,explicit,The chair broke in pieces.,,,,,,
15,local,3,character,,Who did his wife say Morraha was under?,explicit,the son of a king under spells,,,,,,
16,local,3,action,,What did the wife tell Morraha to take?,explicit,the bridle in the window,,,,,,
17,local,3,action,prediction,What beast will Morraha take?,explicit,"whatever beast, handsome or ugly, puts the head in the bridle",,,,,,
18,local,3,outcome resolution,prediction,What will happen when the beast shakes herself?,explicit,"The bells will ring, and the woman's father will say Brown Allree is in the land.",,,,,,
19,local,3,character,prediction,Who will the father say will be in the land?,explicit,Brown Allree,,,,,,
20,local,3,action,,What did Morraha have to do if the son of a king or queen was there?,explicit,bring him to his wife on his shoulders,,,,,,
21,local,3,character,,Who put her head through the bridle?,explicit,Brown Allree,,,,,,
22,local,3,causal relationship,,Why did Brown Allree bend her head down?,explicit,"to take hold of her feet with her mouth, in hopes Morraha would speak in ignorance",,,,,,
23,local,3,outcome resolution,,What happened after the mare spoke to Morraha?,explicit,He gave her the sixpenny loaf toasted and a bottle of ale to drink.,,,,,,
24,local,3,action,,What did Brown Allree tell Morraha to do?,explicit,dismount and give her her dinner,,,,,,
25,summary,"3,4",action,,How did Brown Allree clear three miles?,explicit,She consumed a sixpenny loaf and a bottle.,with a leap,,,,,
26,local,4,setting,,Where did Brown Allree arrive at after she went over three miles of sea with a leap?,explicit,the land of the King of France,,,,,,
27,local,4,action,,How did Morraha and the king pass the night?,explicit,"with drinking, with sport and with diversion, till the whiteness of the day came upon the morrow morning",,,,,,
28,local,4,action,,What did the queen tell Morraha to take with him?,explicit,the best mare in the stable,,,,,,
29,local,4,character,action,Whose door did Morraha have to knock?,explicit,Rough Niall of the speckled rock,,,,,,
30,local,4,action,,What did Morraha have to call on Rough Niall of the speckled rock to do?,explicit,give news of the death of Anshgayliacht and the sword of light,"let the horse's back be to the door, and apply the spurs",,,,,
31,local,4,feeling,,How did Morraha feel while he passed the knight with the king?,explicit,cheerful,,,,,,
32,local,6,action,,How was Niall waken?,explicit,The sword gave a cry.,,,,,,
33,local,6,action,,What did the man say to do till he told the story?,explicit,sit down,,,,,,
34,local,6,action,,What did the man's mother teach the man when he was growing up?,explicit,the language of the birds,,,,,,
35,local,6,causal relationship,,Why did the man not tell his mother the reason for his laughing?,explicit,Women were always asking question.,,,,,,
36,local,6,causal relationship,,Why did the man begin to laugh when he heard the birds arguing?,explicit,He heard them arguing and knew that the rods were there.,,,,,,
37,local,7,feeling,,How did the man's wife feel when the man told her what the birds were saying?,explicit,delighted,,,,,,
38,local,7,action,,What did the wife order the cook to do at six o'clock in the morning?,explicit,have breakfast ready,,,,,,
39,local,7,outcome resolution,,What happened after the wife struck a second blow to the man?,explicit,"She made of him a black rave, and she went home, and left me after her.",,,,,,
40,local,7,setting,,Where did the man have to go till morning?,explicit,into a tree,,,,,,
41,local,7,character,,Who was out at six o'clock in the morning?,explicit,a bellman,,,,,,
42,local,7,outcome resolution,,What would happen if someone killed a raven?,explicit,They would get a fourpenny bit.,,,,,,
43,local,7,setting,,Where did the man make a nest?,explicit,in the top of the parlour chimney,,,,,,
44,local,8,causal relationship,,Why did the man go up to the woman?,explicit,He thought she would turn him back to his own shape.,,,,,,
45,local,8,action,,What did the woman do when she saw the man as a raven?,explicit,struck him with the rod and made of him an old white horse,ordered him to be put to a cart with a man to draw stones,,,,,
46,local,8,outcome resolution,,What happened after the man got tired?,explicit,He began to kill everyone who came near him.,,,,,,
47,local,8,outcome resolution,,What happened when a man came near Niall in the morning?,explicit,Niall followed him till he broke the man's bones.,,,,,,
