question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,action,,What was the schoolmaster of Etnedal doing to fish?,explicit,staying in the mountains,,,,,,
2,local,1,causal relationship,,Why did the schoolmaster always carry one book or another along with him?,explicit,He was very fond of reading.,,,,,,
3,local,1,action,,What was special about the sound of the church bells?,explicit,Sometimes they sounded faintly; at other times the sound was clear,,,,,,
4,local,1,feeling,,How did the schoolmaster feel about the church bells?,explicit,surprised,,,,,,
5,local,1,action,,What did the schoolmaster do because of the church bell sound?,explicit,"laid aside his book, stood up and went out",,,,,,
6,local,2,action,,"What did the priest, wife, and daughter do when they saw the schoolmaster?",explicit,stopped and invited him to come to church and hear mass,,,,,,
7,local,2,causal relationship,,Why did the schoolmaster agree to go along?,explicit,He thought it might be amusing to see how these people worshiped God.,,,,,,
8,local,2,causal relationship,,Why did the priests wife and daughter lead him?,explicit,He was so old and decrepit.,,,,,,
9,local,2,feeling,,How did the schoolmaster feel as he heard the sermon?,implicit,confused,skeptical,,,,,
10,local,2,action,,How did the pastor and his family treat the schoolmaster?,implicit,kindly,politely,,,,,
11,local,3,causal relationship,,Why did the schoolmaster go to the parsonage?,explicit,They assured him he would not lose; but rather gain thereby.,,,,,,
12,local,3,action,,What did the parsonage have?,explicit,"a garden with glowers and apple-trees, with a neat lattice fence around it",,,,,,
13,local,3,outcome resolution,,What happened because the priest had grown so old and decrepit?,explicit,He could not keep up much longer.,,,,,,
14,local,4,causal relationship,,Why did the wife and her daughter say they would like to have the schoolmaster for priest?,explicit,The schoolmaster was such a strong and able man.,,,,,,
15,local,4,outcome resolution,,What happened when the schoolmaster asked for a year to think it over?,explicit,"He found himself standing by a pond in the wood, and could see neither nor parsonage.",,,,,,
16,local,4,causal relationship,,Why did the schoolmaster ask for a year to think it over?,explicit,It would be unwise to act too hurriedly.,This was a most important matter for him and for them.,,,,,
17,local,5,action,,What was the schoolmaster doing just as the term he had set was up?,explicit,working on a house,,,,,,
18,local,5,character,,Who did the schoolmaster see when he was straddling a wall?,explicit,the pastor's daughter,,,,,,
19,local,5,outcome resolution,,What happened when the schoolmaster declined to become the pastor?,explicit,The pastor's daughter from underground vanished.,He cut himself in the knee with the ax.,,,,,
