question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,What did Sentaro's surname mean?,explicit,"""Millionaire""",,,,,,
2,local,1,action,,How did Sentaro get his money?,explicit,inherited a small fortune from his father,,,,,,
3,local,1,causal relationship,,Why could Sentaro spend his time carelessly and without any serious thoughts of work?,explicit,He had inherited a small fortune from his father and lived on this.,,,,,,
4,local,1,feeling,,How did the idea of falling ill or dying make Sentaro feel?,explicit,wretched,,,,,,
5,local,1,action,,What thought came to Sentaro?,explicit,death and sickness,,,,,,
6,local,2,causal relationship,,Why did Sentaro decide to live simply and frugally?,explicit,prolong his life as long as he wished,,,,,,
7,local,2,character,,What types of people lived a long time?,explicit,emperors,princesses,,,,,
8,local,3,causal relationship,,Why was Shin-no-Shiko miserable?,explicit,He knew that one day he must die and leave it all.,,,,,,
9,local,3,action,,What did Shin-no-Shiko build?,explicit,the large palaces,the famous great wall of China,,,,,
10,local,3,action,,What did Shin-no-Shiko think would make him happy?,explicit,"""Elixir of Life""",,,,,,
11,summary,"1,2,3",causal relationship,,Why did Sentaro think of people who had lived a long time?,implicit,He also wanted to live a long time.,He was afraid of being ill or dying.,,,,,
12,summary,"3,4",action,,What did Shin-no-Shiko do because he was afraid of death?,explicit,"called a meeting of his courtiers and asked him all if they could not find for him the ""Elixir of Life.""",,,,,,
13,local,3,feeling,,How did the thought of death make Shin-no-Shiko feel?,explicit,miserable,,,,,,
14,local,4,character,,"Who did Shin-no-Shiko ask to find the ""Elixir of Life""?",explicit,his courtiers,,,,,,
15,local,4,setting,,Where was Horaizan?,explicit,far away across the seas,,,,,,
16,local,4,character,,Who lived on Horaizan?,explicit,certain hermits,,,,,,
17,local,4,character,,Who brought up the hermits and Horaizan?,explicit,Jofuku,,,,,,
18,local,4,outcome resolution,,"What happened to those who drank the ""Elixir of Life""?",explicit,lived forever,,,,,,
19,local,4,prediction,action,What will the Emperor do because he learned of the hermits on Horaizan?,implicit,send someone there,send someone to get the Elixir,,,,,
20,local,5,action,,What was Jofuku given?,explicit,one of the Emperor's best junks,great quantities of treasures and precious stones as presents to the permits,,,,,
21,local,5,setting,,Where has been said to be the fabled Horaizan and home of hermits?,explicit,Mount Fuji,,,,,,
22,local,5,outcome resolution,,What happened after Jofuku set out for Horaizan?,explicit,never returned to the waiting Emperor,,,,,,
23,summary,"2,5",prediction,action,What will Sentaro do because he fears death and illness?,implicit,"look for the ""Elixir of Life""",go to Mount Fuji,look for the hermits,,,,
24,local,6,causal relationship,,Why did Sentaro want to become a hermit?,explicit,He might obtain the water of perpetual life.,,,,,,
25,summary,"4,6",character,,What was the water of perpetual life?,explicit,"""Elixir of Life""",,,,,,
26,local,6,setting,,Where on Mount Fuji were the hermits said to have live?,explicit,the highest peaks,,,,,,
27,local,6,outcome resolution,,What happened when Sentaro made it to the top of the peaks?,explicit,Never a hermit did he find.,,,,,,
28,local,7,character,,Who did Sentaro meet?,explicit,a hunter,,,,,,
29,local,7,character,,Who did the hunter said lived in those parts?,explicit,a notorious robber,,,,,,
30,local,8,feeling,,How did the odd answer make Sentaro feel?,explicit,irritated,,,,,,
31,summary,"7,8",causal relationship,,Why was Sentaro irritated?,implicit,The hunter gave him an odd answer.,He felt like he wasted him.,"He could not find the ""Elixir of Life""",,,,
32,summary,"5,8",causal relationship,,Why did Sentaro go to the shrine of Jofuku?,implicit,Jofuku was said to be the hermit's patron god.,"Jofuku was said to know where the ""Elixir of Life"" was.","He hoped Jofuku would show him the way to the ""Elixir of Life""",,,,
33,local,8,action,,How many days did Sentaro pray at the shrine?,explicit,seven days,,,,,,
34,local,8,action,,What did Sentaro want from Jofuku?,explicit,show him the way to the hermit who could give him what he wanted so much to find,,,,,,
