question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,causal relationship,,Why did some young men left the camp where they lived?,explicit,to get some food for their wives and children,,,,,,
2,local,1,causal relationship,,Why did they like the heat?,explicit,They ran races and tried who could hurl his spear the farthest or was cleverest in throwing a strange weapon called a boomerang.,,,,,,
3,local,2,character,,How does the story describe of the people?,explicit,They were fond of the root sof bulrushes which they think as good as onions.,,,,,,
4,local,2,action,,What did a youth say?,implicit,Men should not waste time in doing work that is only fit for women and children. Men should fish for eels and anything else they can get.,,,,,,
5,local,3,action,,What did the men make their fishing lines out of?,explicit,bark of the yellow mimosa,,,,,,
6,local,4,outcome resolution,,What occurred to the man who had baited his hook with raw meat?,explicit,His was dragged into the pool.,,,,,,
7,local,4,character,,How does the story describe the creature?,implicit,"something of both calf and a seal with a long, broad tail",,,,,,
8,local,4,character,,What was the creature?,explicit,the cub of the Bunyip,,,,,,
9,local,5,causal relationship,,Why did the captor decide to keep the cub of the Bunyip?,implicit,Because he promised his sweetheart to bring back enough meat for her father's house to feast on for three days.,Her brothers and sisters can have it to play with.,,,,,
10,local,6,outcome resolution,,What was happening the pool?,explicit,The pool was slowly rising and the spot where they had landed the Bunyip was quite covered.,,,,,,
11,local,8,action,,What did the youth who caused the catastrophe tell his sweeatheart?,implicit,To climb with her to the top of the tree where no waters can reach them.,,,,,,
12,local,9,outcome resolution,,What happened to his feet?,implicit,They turned into a bird's claws.,,,,,,
12,local,9,outcome resolution,,What has the youth become?,explicit,a swan,,,,,,
13,local,11,character,,Where does the Bunyip live?,explicit,The side of the pool where she lives is always shunned by everyone.,"She has a house filled with beautiful things, such as mortals who dwell on the earth have no idea of.",,,,,
