section,text
1,"In the reign of the famous King Arthur there lived in Cornwall a lad
named Jack, who was a boy of a bold temper, and took delight in hearing
or reading of conjurers, giants, and fairies; and used to listen eagerly
to the deeds of the knights of King Arthur's Round Table.

In those days there lived on St. Michael's Mount, off Cornwall, a huge
giant, eighteen feet high and nine feet round; his fierce and savage
looks were the terror of all who beheld him."
2,"He dwelt in a gloomy cavern on the top of the mountain, and used to wade
over to the mainland in search of prey; when he would throw half a dozen
oxen upon his back, and tie three times as many sheep and hogs round his
waist, and march back to his own abode.

The giant had done this for many years when Jack resolved to destroy
him."
3,"Jack took a horn, a shovel, a pickaxe, his armor, and a dark lantern,
and one winter's evening he went to the mount. There he dug a pit
twenty-two feet deep and twenty broad. He covered the top over so as to
make it look like solid ground. He then blew his horn so loudly that the
giant awoke and came out of his den crying out: ""You saucy villain! you
shall pay for this I'll broil you for my breakfast!""

He had just finished, when, taking one step further, he tumbled headlong
into the pit, and Jack struck him a blow on the head with his pickaxe
which killed him. Jack then returned home to cheer his friends with the
news."
4,"Another giant, called Blunderbore, vowed to be revenged on Jack if ever
he should have him in his power. This giant kept an enchanted castle in
the midst of a lonely wood; and some time after the death of Cormoran
Jack was passing through a wood, and being weary, sat down and went to
sleep.

The giant, passing by and seeing Jack, carried him to his castle, where
he locked him up in a large room, the floor of which was covered with
the bodies, skulls and bones of men and women."
5,"Soon after the giant went to fetch his brother who was likewise a giant,
to take a meal off his flesh; and Jack saw with terror through the bars
of his prison the two giants approaching.

Jack, perceiving in one corner of the room a strong cord, took courage,
and making a slip-knot at each end, he threw them over their heads, and
tied it to the window-bars; he then pulled till he had choked them. When
they were black in the face he slid down the rope and stabbed them to
the heart."
6,"Jack next took a great bunch of keys from the pocket of Blunderbore,
and went into the castle again. He made a strict search through all
the rooms, and in one of them found three ladies tied up by the hair
of their heads, and almost starved to death. They told him that their
husbands had been killed by the giants, who had then condemned them to
be starved to death because they would not eat the flesh of their own
dead husbands.

""Ladies,"" said Jack, ""I have put an end to the monster and his wicked
brother; and I give you this castle and all the riches it contains, to
make some amends for the dreadful pains you have felt."" He then very
politely gave them the keys of the castle, and went further on his
journey to Wales."
7,"As Jack had but little money, he went on as fast as possible. At length
he came to a handsome house. Jack knocked at the door, when there came
forth a Welsh giant. Jack said he was a traveler who had lost his way,
on which the giant made him welcome, and let him into a room where there
was a good bed to sleep in.

Jack took off his clothes quickly, but though he was weary he could not
go to sleep. Soon after this he heard the giant walking backward and
forward in the next room, and saying to himself:

  ""Though here you lodge with me this night,
  You shall not see the morning light;
  My club shall dash your brains out quite."""
8,"""Say you so?"" thought Jack. ""Are these your tricks upon travelers? But
I hope to prove as cunning as you are."" Then, getting out of bed, he
groped about the room, and at last found a large thick billet of wood.
He laid it in his own place in the bed, and then hid himself in a dark
corner of the room.

The giant, about midnight, entered the apartment, and with his bludgeon
struck many blows on the bed, in the very place where Jack had laid the
log; and then he went back to his own room, thinking he had broken all
Jack's bones."
9,"Early in the morning Jack put a bold face upon the matter, and walked
into the giant's room to thank him for his lodging. The giant started
when he saw him, and began to stammer out: ""Oh! dear me; is it you? Pray
how did you sleep last night? Did you hear or see anything in the dead
of the night?""

""Nothing to speak of,"" said Jack, carelessly; ""a rat, I believe, gave me
three or four slaps with its tail, and disturbed me a little; but I soon
went to sleep again."""
10,"The giant wondered more and more at this; yet he did not answer a word,
but went to bring two great bowls of hasty-pudding for their breakfast.
Jack wanted to make the giant believe that he could eat as much as
himself, so he contrived to button a leathern bag inside his coat, and
slip the hasty-pudding into this bag, while he seemed to put it into his
mouth.

When breakfast was over he said to the giant: ""Now I will show you a
fine trick. I can cure all wounds with a touch; I could cut off my head
in one minute, and the next put it sound again on my shoulders. You
shall see an example."" He then took hold of the knife, ripped up the
leathern bag, and all the hasty-pudding tumbled out upon the floor."
