question_id,local-or-sum,cor_section,attribute1,attribute2,question,ex-or-im1,answer1,answer2,answer3,ex-or-im2,answer4,answer5,answer6
1,local,1,character,,Who was a wise and ancient chemist?,explicit,Dr. Daws,,,,Dr. Daws,,
2,local,1,setting,,Where did Dr. Daws live?,explicit,Boston,,,,Boston,,
3,local,1,character,,"Who possessed of much money, little wit and an intense desire to go upon the stage?",explicit,Claribel Sudds,,,,Claribel Sudds,,
4,local,2,action,,What did Dr. Daws do when Claribel went to him for his help?,explicit,showed her a small box filled with compounds that closely resembled French bonbons,,,,showed her a small box filled with compounds that closely resembled French bonbons,,
5,local,3,feeling,,How did Claribel feel when she received the magic bonbons?,implicit,happy,excited,glad,,excited,enraptured,
6,local,4,outcome resolution,,What happened when Claribel forgot her precious box of bonbons?,explicit,Little Bessie Bostwick gathered up the box with her other bundles and trotted off home with it,,,,Bessie Bostwick gathered up the box with her other bundles and trotted off home with it.,,
7,summary,"4, 5",prediction,outcome resolution,What will happen to Bessie Bostwick when she eats the magic bonbons?,explicit,She will suddenly feel a great desire to play upon the piano.,,,,She will feel a great desire to play upon the piano.,,
8,local,4,feeling,,How did Bessie Bostwick feel when she found the magic bonbons?,implicit,excited,happy,glad,,excited,happy,
9,summary,"8, 9",prediction,action,What will Mr. Bostwick do after he eats the bonbon?,explicit,sing,,,,"sing in a shrill, tremolo soprano voice",,
10,local,13,causal relationship,,Why did the senator leave?,explicit,The senator was not at all sure he would not go crazy himself.,,,,The senator was not at all sure he would not go crazy himself.,,
11,summary,"15, 16",causal relationship,,"Why did the senator balance himself upon his left foot, and kick his right leg into the air in the way favored by ballet-dancers?",explicit,He slipped the bonbon into his mouth.,,,,He ate a bonbon.,,
12,summary,"16, 17",causal relationship,,Why did Clarbiel accused the senator of stealing her bonbons?,implicit,He began dancing like ballet-dancers.,He became a talented dancer.,He did not behave like himself.,,She saw him eating a bonbon.,,
13,local,19,action,,What did Claribel do when she lost her box of bonbons?,explicit,went again to the wise chemist and signed a check for another box of magic bonbons,,,,went again to the wise chemist and signed a check for another box of magic bonbons.,,
14,local,17,feeling,,How did Claribel feel when she realized the senator took her bonbons?,implicit,angry,mad,upset,,angry,upset,
15,local,18,causal relationship,,Why did the ushers think that Claribel was insane?,implicit,She accused the senator of stealing her bonbons.,,,,She accused the dancing senator of stealing her bonbons.,,
16,local,9,causal relationship,,Why was Claribel Sudds' precious bonbons passed from her possession forever?,explicit,The dish of bonbons was now empty.,,,,The dish was now empty.,,
17,summary,"6, 7",feeling,,How did Bessie's parents feel when they saw her play the piano?,implicit,surprised,excited,happy,,excited,impressed,
18,summary,"3, 18",causal relationship,,Why was the effect of the magic bonbon still powerful enough to control the poor senator?,explicit,Dr. Daws made them too strong.,,,,Dr. Daws made them very strong.,,
19,summary,"18, 19",prediction,feeling,How will the senator feel when he realizes that he danced during the political meeting?,explicit,humilated,,,,humiliated,shame,
