section,text
1,"Once upon a time there was a poor man, who had only one son; but one who
was so lazy and clumsy that he did not want to do a stroke of work. ""If
I am not to feed this bean-pole for the rest of my life, I'll have to
send him far away, where not a soul knows him,"" thought the father.
""Once he is knocking about in the world, he will not be so likely to
come home again."" So he took his son and led him about in the world, far
and wide, and tried to get him taken on as a serving man; but no one
would have him. Finally, after wandering a long time, they came to a
rich man, of whom it was said that he turned every shilling around seven
times before he could make up his mind to part with it. He was willing
to take the youth for a servant, and he was to work three years without
pay. But at the end of the three years, his master was to go into town,
two days in succession, and buy the first thing he saw, and on the third
morning the youth himself was to go to town and also buy the first thing
he met. And all this he was to receive in lieu of his wage."
2,"So the youth served out his three years, and did better than they had
expected him to do. He was by no means a model serving-man; but then
his master was none of the best, either, for he let him go all that time
in the same clothes he had worn when he entered his service, until,
finally, one patch elbowed the other.

Now when his master was to go to do his buying, he set out as early as
possible in the morning. ""Costly wares are only to be seen by day,"" said
he, ""they are not drifting about the street so early. It will probably
cost me enough as it is, for what I find is a matter of purest chance.""
The first thing he saw on the street was an old woman, who was carrying
a covered basket. ""Good-day, granny,"" said the man. ""And good-day to
you, daddy,"" said the old woman."
3,"""What have you in your basket?"" asked the man. ""Would you like to know?""
said the woman. ""Yes,"" said the man, ""for I have to buy the first thing
that comes my way."" ""Well, if you want to know, buy it!"" said the old
woman. ""What does it cost?"" asked the man. She must have four shillings
for it, declared the woman. This did not seem such a tremendous price to
him, he would let it go at that, said he, and raised the cover. And
there lay a pup in the basket. When the man got home from his journey to
town, there stood the youth full of impatience and curiosity, wondering
what his wage for the first year might be. ""Are you back already,
master?"" asked the youth. ""Yes, indeed,"" said his master. ""And what have
you bought?"" asked the youth. ""What I have bought is nothing so very
rare,"" said the man. ""I don't even know whether I ought to show it to
you; but I bought the first thing to be had, and that was a pup,"" said
he. ""And I thank you most kindly for it,"" said the youth. ""I have always
been fond of dogs."""
4,"The following morning it was no better. The man set out as early as
possible, and had not as yet reached town before he met the old woman
with the basket. ""Good-day, granny,"" said the man. ""And good-day to you,
daddy,"" said the old woman. ""What have you in your basket to-day?"" asked
the man. ""If you want to know, then buy it!"" was again the answer. ""What
does it cost?"" asked the man. She wanted four shillings for it, she had
only the one price. The man said he would buy it, for he thought that
this time he would make a better purchase. He raised the cover, and this
time a kitten lay in the basket. When he reached home, there stood the
youth, waiting to see what he was to get in lieu of his second year's
wages. ""Are you back again, master!"" said he. ""Yes, indeed,"" said the
master. ""What did you buy to-day?"" asked the youth. ""Alas, nothing
better than I did yesterday,"" said the man, ""but I did as we agreed, and
bought the first thing I came across, and that was this kitten."" ""You
could not have hit on anything better,"" said the youth, ""for all my life
long I have been fond of cats as well as of dogs."" ""I do not fare so
badly this way,"" thought the man, ""but when he sets out for himself,
then the matter will probably turn out differently."""
5,"So the third morning the youth set out for himself, and when he entered
town, he came across the same old woman with her basket on her arm.
""Good morning, granny,"" said he. ""And good morning to you, my boy,"" said
the old woman. ""What have you in your basket?"" asked the youth. ""If you
want to know, then buy it!"" answered the old woman. ""Do you want to sell
it?"" asked the youth. Yes, indeed, and it would cost four shillings,
said the old woman. That is a bargain, thought the youth, and wanted to
take it, for he had to buy the first thing that came his way. ""Well, you
can take the whole blessed lot,"" said the old woman, ""the basket and all
that's in it. But do not look into it before you get home, do you hear!"""
6,"No, indeed, he would be sure not to look in the basket, said he. But on
the way, he kept wondering as to what might be in the basket, and
willy-nilly--he could not keep from raising the cover a little, and
looking through the crack. But that very minute a little lizard popped
out of the crack, and ran across the road so quickly that it fairly
hummed--and aside from the lizard there was nothing in the basket.
""Stop, wait a minute, and don't run away! I just bought you,"" said the
youth. ""Stab me in the neck! Stab me in the neck!"" cried the lizard. The
youth did not have to be told twice. He ran after the lizard and stabbed
it in the neck just as it was slipping into a hole in a wall. And that
very moment it turned into a man, as handsome and splendid as the
handsomest prince, and a prince he was, if truth be told."
7,"""Now you have delivered me,"" said he, ""for the old woman, with whom you
and your master have been dealing, is a witch, and she turned me into a
lizard, and my brother and sister into a dog and cat."" The youth thought
this a remarkable tale. ""Yes, indeed,"" said the prince. ""She was
actually on the way to throw us into the sea and drown us; but if any
one were to appear and want to buy us, she had to sell us for four
shillings apiece, that had been agreed upon. And now you shall go home
with me to my father, and be rewarded for your good deed."" ""Your home
must be a good way off,"" said the youth. ""O, it is not so far,"" declared
the prince, ""there it is!"" And he pointed to a high hill in the
distance."
8,"They marched along as fast as they could, but still it was farther away
than it seemed. So it was late at night before they reached their goal.
The prince knocked. ""Who is knocking at my door, and disturbing my
sleep?"" came a voice within the hill. And the voice was so powerful that
the earth trembled. ""Open, father, your son has come home!"" cried the
prince. Then the father was glad to open the door quickly. ""I thought
you were already lying at the bottom of the sea,"" said the old man.
""But you are not alone?"" ""This is the chap who delivered me,"" said the
prince, ""and I asked him to come with me so that you could reward him.""
That he would attend to, said the old man. ""Now you must come right in,""
said he, ""for here you may rest in safety."" They went in and sat down,
and the old man laid an armful of wood and a couple of big logs on the
fire, until every corner was as bright as day, and wherever they looked
everything was indescribably splendid. The youth had never seen anything
like it, and such fine things to eat and drink as the old man served up
to him, he had never yet tasted. And the bowls and dishes, and goblets
and plates, were all of pure silver and shining gold."
9,"There was no need to urge the young folk. They ate and drank and enjoyed
themselves, and then slept far into the next day. The youth was still
asleep when the old man came and offered him a morning draft in a golden
goblet. And when he had put on his rags and breakfasted, he was allowed
to pick out what he wanted, as a reward for delivering the prince. There
was much to see and still more to take, as you may believe. ""Well, what
do you want?"" asked the king. ""You may take what you will; for as you
see there is enough from which to choose."" The youth said he would have
to think it over a bit, and speak to the prince. And that he was allowed
to do."
10,"""Well, I suppose you have seen all sorts of beautiful things?""
asked the prince. ""That is a fact,"" said the youth. ""But tell me, what
ought I to choose among all these magnificent things? Your father said I
might pick out whatever I wished."" ""You must choose none among all the
things you have seen,"" answered the prince, ""but my father wears a ring
on his little finger, and you must ask him for that."" This the youth
did, and begged the king for the ring on his finger. ""It is dearer to
me than anything else I have,"" said the king, ""but my son is just as
dear to me, and therefore I will give you the ring. Do you know what
powers it has?"" No, that the youth did not know. ""While you wear it on
your finger, you can get everything that you want to have,"" said the
king. The youth thanked him most kindly, and the king and the prince
wished him all manner of luck on his journey, and charged him to take
the best care of the ring."
